Sample,Plate,Well,Row,Col,Egg lay date,Egg lay period,Egg transfer (ET),Infection start date,Infection end date,Infection period,Infection start date - Egg lay date,No. vials made on that date,Yeast usage,Cage,Total flies collected on that date,3 cM,27 cM,Genotype (3 and 27 cM),7 cM,10.3 cM,12 cM,17 cM,Wasp primer melting temperature ,Wasp DNA amplified,8 cM,11 cM,10.7 cM,11.3 cM,11.6 cM,8.5 cM,9 cM,10 cM
35,1,C5,C,5,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,1,D5,D,5,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,1,E5,E,5,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,S,HS,H,H,H,H,81.57416534,N,NA,NA,NA,NA,NA,NA,NA,NA
38,1,F5,F,5,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,1,G5,G,5,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,1,H5,H,5,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,1,A6,A,6,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,1,B6,B,6,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,1,C6,C,6,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,S,H,SH,H,H,NA,NA,83.6464386,N,NA,NA,NA,NA,NA,NA,NA,NA
44,1,D6,D,6,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,1,E6,E,6,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,1,G6,G,6,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,S,HS,H,H,H,H,81.42518616,N,NA,NA,NA,NA,NA,NA,NA,NA
48,1,H6,H,6,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,1,A7,A,7,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,1,B7,B,7,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,S,HS,H,H,S,S,78.44551086,Y,NA,H,NA,H,H,NA,NA,NA
51,1,C7,C,7,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,1,D7,D,7,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,1,E7,E,7,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,S,HS,H,S,S,S,75.16786957,N,S,NA,NA,NA,NA,NA,NA,NA
54,1,F7,F,7,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,1,G7,G,7,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,1,H7,H,7,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,S,HS,S,H,H,H,78.14754486,Y,NA,NA,NA,NA,NA,NA,NA,NA
57,1,A8,A,8,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,1,B8,B,8,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,S,H,SH,S,S,S,S,81.70841217,N,NA,NA,NA,NA,NA,NA,NA,NA
59,1,C8,C,8,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,S,HS,H,H,H,H,81.57416534,N,NA,NA,NA,NA,NA,NA,NA,NA
60,1,D8,D,8,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,1,E8,E,8,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,1,F8,F,8,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,1,G8,G,8,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,1,H8,H,8,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,1,A9,A,9,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,1,B9,B,9,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,1,C9,C,9,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,1,D9,D,9,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,1,F9,F,9,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,1,G9,G,9,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,1,H9,H,9,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,1,A10,A,10,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,S,HS,H,H,H,S,80.97823334,N,NA,NA,NA,NA,NA,NA,NA,NA
76,1,D10,D,10,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,1,G10,G,10,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,S,HS,H,NA,NA,NA,81.42518616,N,NA,NA,NA,NA,NA,NA,NA,NA
80,1,H10,H,10,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,S,HS,NA,NA,NA,NA,81.72547913,N,NA,NA,NA,NA,NA,NA,NA,NA
83,1,C11,C,11,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,1,D11,D,11,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,1,G11,G,11,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,S,H,SH,S,S,S,S,84.98814392,N,NA,NA,NA,NA,NA,NA,NA,NA
89,1,A12,A,12,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,1,B12,B,12,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,1,D12,D,12,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,1,E12,E,12,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,1,F12,F,12,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,1,H12,H,12,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,2,A1,A,1,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,2,B1,B,1,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,S,HS,NA,NA,NA,NA,81.42750549,N,NA,NA,NA,NA,NA,NA,NA,NA
99,2,C1,C,1,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,2,D1,D,1,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,S,HS,H,H,H,H,74.27614594,N,NA,NA,NA,NA,NA,NA,NA,NA
101,2,E1,E,1,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,2,F1,F,1,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,2,G1,G,1,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,2,H1,H,1,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,2,A2,A,2,27-Jan,Overnight,27-Jan,30-Jan,01-Feb,2 days,3,10,"Plastic, no yeast",2,31,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,2,B2,B,2,27-Jan,Overnight,27-Jan,30-Jan,01-Feb,2 days,3,10,"Plastic, no yeast",2,31,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,2,C2,C,2,27-Jan,Overnight,27-Jan,30-Jan,01-Feb,2 days,3,10,"Plastic, no yeast",2,31,H,S,HS,H,H,H,S,78.44777679,Y,NA,NA,NA,NA,NA,NA,NA,NA
108,2,D2,D,2,27-Jan,Overnight,27-Jan,30-Jan,01-Feb,2 days,3,10,"Plastic, no yeast",2,31,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,2,E2,E,2,27-Jan,Overnight,27-Jan,30-Jan,01-Feb,2 days,3,10,"Plastic, no yeast",2,31,H,S,HS,H,H,H,S,83.36433411,N,NA,NA,NA,NA,NA,NA,NA,NA
110,2,F2,F,2,27-Jan,Overnight,27-Jan,30-Jan,01-Feb,2 days,3,10,"Plastic, no yeast",2,31,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,2,B3,B,3,27-Jan,Overnight,27-Jan,30-Jan,01-Feb,2 days,3,10,"Plastic, no yeast",2,31,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,2,C3,C,3,27-Jan,Overnight,27-Jan,30-Jan,01-Feb,2 days,3,10,"Plastic, no yeast",2,31,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,2,E3,E,3,27-Jan,Overnight,27-Jan,30-Jan,01-Feb,2 days,3,10,"Plastic, no yeast",2,31,H,S,HS,NA,NA,NA,NA,74.27614594,N,NA,NA,NA,NA,NA,NA,NA,NA
118,2,F3,F,3,27-Jan,Overnight,27-Jan,30-Jan,01-Feb,2 days,3,10,"Plastic, no yeast",2,31,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,2,G3,G,3,27-Jan,Overnight,27-Jan,30-Jan,01-Feb,2 days,3,10,"Plastic, no yeast",2,31,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,2,A4,A,4,27-Jan,Overnight,27-Jan,30-Jan,01-Feb,2 days,3,10,"Plastic, no yeast",2,31,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,2,B4,B,4,27-Jan,Overnight,27-Jan,30-Jan,01-Feb,2 days,3,10,"Plastic, no yeast",2,31,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,2,C4,C,4,27-Jan,Overnight,27-Jan,30-Jan,01-Feb,2 days,3,10,"Plastic, no yeast",2,31,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,2,E4,E,4,27-Jan,Overnight,27-Jan,30-Jan,01-Feb,2 days,3,10,"Plastic, no yeast",2,31,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,2,F4,F,4,27-Jan,Overnight,27-Jan,30-Jan,01-Feb,2 days,3,10,"Plastic, no yeast",2,31,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,2,G4,G,4,27-Jan,Overnight,27-Jan,30-Jan,01-Feb,2 days,3,10,"Plastic, no yeast",2,31,H,S,HS,S,S,S,S,81.72547913,N,NA,NA,NA,NA,NA,NA,NA,NA
128,2,H4,H,4,27-Jan,Overnight,27-Jan,30-Jan,01-Feb,2 days,3,10,"Plastic, no yeast",2,31,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,2,C5,C,5,27-Jan,Overnight,27-Jan,30-Jan,01-Feb,2 days,3,10,"Plastic, no yeast",2,31,H,S,HS,NA,S,S,S,81.87446594,N,NA,NA,NA,NA,NA,NA,NA,NA
132,2,D5,D,5,27-Jan,Overnight,27-Jan,30-Jan,01-Feb,2 days,3,10,"Plastic, no yeast",2,31,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,2,E5,E,5,27-Jan,Overnight,27-Jan,30-Jan,01-Feb,2 days,3,10,"Plastic, no yeast",2,31,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,2,F5,F,5,27-Jan,Overnight,27-Jan,30-Jan,01-Feb,2 days,3,10,"Plastic, no yeast",2,31,H,S,HS,H,H,H,H,78.44777679,Y,NA,NA,NA,NA,NA,NA,NA,NA
135,2,G5,G,5,27-Jan,Overnight,27-Jan,30-Jan,01-Feb,2 days,3,10,"Plastic, no yeast",2,31,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,2,H5,H,5,28-Jan,Day,29-Jan,01-Feb,01-Feb,2 days,4,25,"Plastic, no yeast",2,11,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,2,A6,A,6,28-Jan,Day,29-Jan,01-Feb,01-Feb,2 days,4,25,"Plastic, no yeast",2,11,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,2,B6,B,6,28-Jan,Day,29-Jan,01-Feb,01-Feb,2 days,4,25,"Plastic, no yeast",2,11,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,2,C6,C,6,28-Jan,Day,29-Jan,01-Feb,01-Feb,2 days,4,25,"Plastic, no yeast",2,11,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,2,D6,D,6,28-Jan,Day,29-Jan,01-Feb,01-Feb,2 days,4,25,"Plastic, no yeast",2,11,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,2,E6,E,6,28-Jan,Day,29-Jan,01-Feb,01-Feb,2 days,4,25,"Plastic, no yeast",2,11,H,S,HS,H,NA,H,S,78.29878998,Y,NA,NA,NA,NA,NA,NA,NA,NA
142,2,F6,F,6,28-Jan,Day,29-Jan,01-Feb,01-Feb,2 days,4,25,"Plastic, no yeast",2,11,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
