Run,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sample_type,sex,SRA Study,stock,strain,tissue
SRR1663557,WGS,GCA_000001215.1,199,1827591696,PRJNA268111,SAMN03203100,Model organism or animal,829202947,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766111,Illumina HiSeq 2000,I33,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,I33,genomic DNA,female,SRP050151,I33,I33,adult
SRR1663558,WGS,GCA_000001215.1,199,1910723443,PRJNA268111,SAMN03203101,Model organism or animal,878332649,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766112,Illumina HiSeq 2000,I34,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,I34,genomic DNA,female,SRP050151,I34,I34,adult
SRR1663559,WGA,GCA_000001215.1,199,1907870206,PRJNA268111,SAMN03203102,Model organism or animal,862712454,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766114,Illumina HiSeq 2000,I35,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,I35,genomic DNA,female,SRP050151,I35,I35,adult
SRR1663560,WGS,GCA_000001215.1,199,2138479428,PRJNA268111,SAMN03203103,Model organism or animal,961165812,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766115,Illumina HiSeq 2000,I38,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,I38,genomic DNA,female,SRP050151,I38,I38,adult
SRR1663561,WGS,GCA_000001215.1,199,1917477273,PRJNA268111,SAMN03203104,Model organism or animal,816471726,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766117,Illumina HiSeq 2000,N01,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,N01,genomic DNA,female,SRP050151,N01,N01,adult
SRR1663562,WGS,GCA_000001215.1,199,2060216861,PRJNA268111,SAMN03203105,Model organism or animal,883498804,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766118,Illumina HiSeq 2000,N02,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,N02,genomic DNA,female,SRP050151,N02,N02,adult
SRR1663563,WGS,GCA_000001215.1,199,1958634715,PRJNA268111,SAMN03203106,Model organism or animal,854042483,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766120,Illumina HiSeq 2000,N03,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,N03,genomic DNA,female,SRP050151,N03,N03,adult
SRR1663564,WGS,GCA_000001215.1,199,1982821592,PRJNA268111,SAMN03203107,Model organism or animal,848200218,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766121,Illumina HiSeq 2000,N04,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,N04,genomic DNA,female,SRP050151,N04,N04,adult
SRR1663565,WGS,GCA_000001215.1,199,2035694909,PRJNA268111,SAMN03203108,Model organism or animal,923978263,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766122,Illumina HiSeq 2000,N07,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,N07,genomic DNA,female,SRP050151,N07,N07,adult
SRR1663566,WGS,GCA_000001215.1,199,2139864815,PRJNA268111,SAMN03203109,Model organism or animal,978011746,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766123,Illumina HiSeq 2000,N10,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,N10,genomic DNA,female,SRP050151,N10,N10,adult
SRR1663567,WGS,GCA_000001215.1,199,1951789795,PRJNA268111,SAMN03203110,Model organism or animal,904638372,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766124,Illumina HiSeq 2000,N11,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,N11,genomic DNA,female,SRP050151,N11,N11,adult
SRR1663568,WGS,GCA_000001215.1,199,1696817305,PRJNA268111,SAMN03203111,Model organism or animal,785224505,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766125,Illumina HiSeq 2000,N13,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,N13,genomic DNA,female,SRP050151,N13,N13,adult
SRR1663569,WGS,GCA_000001215.1,199,2019670743,PRJNA268111,SAMN03203112,Model organism or animal,922823499,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766126,Illumina HiSeq 2000,N14,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,N14,genomic DNA,female,SRP050151,N14,N14,adult
SRR1663570,WGS,GCA_000001215.1,199,1700974046,PRJNA268111,SAMN03203113,Model organism or animal,784027922,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766127,Illumina HiSeq 2000,N15,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,N15,genomic DNA,female,SRP050151,N15,N15,adult
SRR1663571,WGS,GCA_000001215.1,199,2097971537,PRJNA268111,SAMN03203114,Model organism or animal,956819868,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766128,Illumina HiSeq 2000,N16,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,N16,genomic DNA,female,SRP050151,N16,N16,adult
SRR1663572,WGS,GCA_000001215.1,199,1979393504,PRJNA268111,SAMN03203115,Model organism or animal,879750961,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766129,Illumina HiSeq 2000,N17,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,N17,genomic DNA,female,SRP050151,N17,N17,adult
SRR1663573,WGS,GCA_000001215.1,199,1941223004,PRJNA268111,SAMN03203116,Model organism or animal,825617497,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766130,Illumina HiSeq 2000,N18,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,N18,genomic DNA,female,SRP050151,N18,N18,adult
SRR1663574,WGS,GCA_000001215.1,199,1926892853,PRJNA268111,SAMN03203117,Model organism or animal,842549634,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766131,Illumina HiSeq 2000,N19,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,N19,genomic DNA,female,SRP050151,N19,N19,adult
SRR1663575,WGS,GCA_000001215.1,199,1937372865,PRJNA268111,SAMN03203118,Model organism or animal,826801385,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766132,Illumina HiSeq 2000,N22,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,N22,genomic DNA,female,SRP050151,N22,N22,adult
SRR1663576,WGS,GCA_000001215.1,199,1993629678,PRJNA268111,SAMN03203119,Model organism or animal,851077706,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766133,Illumina HiSeq 2000,N23,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,N23,genomic DNA,female,SRP050151,N23,N23,adult
SRR1663577,WGS,GCA_000001215.1,199,1832720553,PRJNA268111,SAMN03203120,Model organism or animal,799417775,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766134,Illumina HiSeq 2000,N25,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,N25,genomic DNA,female,SRP050151,N25,N25,adult
SRR1663578,WGS,GCA_000001215.1,199,1698909643,PRJNA268111,SAMN03203121,Model organism or animal,749546931,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766136,Illumina HiSeq 2000,N29,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,N29,genomic DNA,female,SRP050151,N29,N29,adult
SRR1663579,WGS,GCA_000001215.1,199,1879997227,PRJNA268111,SAMN03203122,Model organism or animal,814698337,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766137,Illumina HiSeq 2000,N30,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,N30,genomic DNA,female,SRP050151,N30,N30,adult
SRR1663580,WGS,GCA_000001215.1,199,1922811046,PRJNA268111,SAMN03203123,Model organism or animal,829894918,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766175,Illumina HiSeq 2000,T04,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,T01,genomic DNA,female,SRP050151,T01,T01,adult
SRR1663581,WGS,GCA_000001215.1,199,2043642690,PRJNA268111,SAMN03203124,Model organism or animal,925471414,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766176,Illumina HiSeq 2000,T04,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,T04,genomic DNA,female,SRP050151,T04,T04,adult
SRR1663582,WGS,GCA_000001215.1,199,1731313081,PRJNA268111,SAMN03203125,Model organism or animal,781675785,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766177,Illumina HiSeq 2000,T05,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,T05,genomic DNA,female,SRP050151,T05,T05,adult
SRR1663583,WGS,GCA_000001215.1,199,2087624762,PRJNA268111,SAMN03203126,Model organism or animal,941337603,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766178,Illumina HiSeq 2000,T07,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,T07,genomic DNA,female,SRP050151,T07,T07,adult
SRR1663584,WGS,GCA_000001215.1,199,1961174433,PRJNA268111,SAMN03203127,Model organism or animal,881848623,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766179,Illumina HiSeq 2000,T09,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,T09,genomic DNA,female,SRP050151,T09,T09,adult
SRR1663585,WGS,GCA_000001215.1,199,2021723593,PRJNA268111,SAMN03203128,Model organism or animal,908715003,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766180,Illumina HiSeq 2000,T10,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,T10 female,genomic DNA,female,SRP050151,T10,T10,adult
SRR1663586,WGS,GCA_000001215.1,199,2181818880,PRJNA268111,SAMN03203129,Model organism or animal,982991079,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766181,Illumina HiSeq 2000,T14A,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,T14A,genomic DNA,female,SRP050151,T14A,T14A,adult
SRR1663587,WGS,GCA_000001215.1,199,1843012616,PRJNA268111,SAMN03203130,Model organism or animal,831372001,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766182,Illumina HiSeq 2000,T22A,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,T22A,genomic DNA,female,SRP050151,T22A,T22A,adult
SRR1663588,WGS,GCA_000001215.1,199,1691287726,PRJNA268111,SAMN03203131,Model organism or animal,791477792,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766183,Illumina HiSeq 2000,T23,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,T23,genomic DNA,female,SRP050151,T23,T23,adult
SRR1663589,WGS,GCA_000001215.1,199,1871805090,PRJNA268111,SAMN03203132,Model organism or animal,831076529,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766184,Illumina HiSeq 2000,T24,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,T24,genomic DNA,female,SRP050151,T24,T24,adult
SRR1663590,WGS,GCA_000001215.1,199,1769972597,PRJNA268111,SAMN03203133,Model organism or animal,774733557,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766185,Illumina HiSeq 2000,T25A,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,T25A,genomic DNA,female,SRP050151,T25A,T25A,adult
SRR1663591,WGS,GCA_000001215.1,199,2072710146,PRJNA268111,SAMN03203134,Model organism or animal,948457780,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766186,Illumina HiSeq 2000,T29A,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,T29A,genomic DNA,female,SRP050151,T29A,T29A,adult
SRR1663592,WGS,GCA_000001215.1,199,1977400402,PRJNA268111,SAMN03203135,Model organism or animal,855970521,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766187,Illumina HiSeq 2000,T30,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,T30,genomic DNA,female,SRP050151,T30,T30,adult
SRR1663593,WGS,GCA_000001215.1,199,1900951907,PRJNA268111,SAMN03203136,Model organism or animal,828810618,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766188,Illumina HiSeq 2000,T35,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,T35,genomic DNA,female,SRP050151,T35,T35,adult
SRR1663594,WGS,GCA_000001215.1,199,2004984802,PRJNA268111,SAMN03203137,Model organism or animal,874148047,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766189,Illumina HiSeq 2000,T36B,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,T36B,genomic DNA,female,SRP050151,T36B,T36B,adult
SRR1663595,WGS,GCA_000001215.1,199,1992231601,PRJNA268111,SAMN03203138,Model organism or animal,869411881,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766190,Illumina HiSeq 2000,T39,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,T39,genomic DNA,female,SRP050151,T39,T39,adult
