Run,Assay Type,AvgSpotLen,Bases,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study
SRR346923,WGS,316,5262161876,SAMN00727212,3607248599,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX098365,Illumina Genome Analyzer IIx,ZI443_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI443-HE,SRP006733
SRR346924,WGS,316,5685976968,SAMN00727213,3894997427,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX098366,Illumina Genome Analyzer IIx,ZI31N_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI31N-HE,SRP006733
SRR346925,WGS,316,5288664796,SAMN00727214,3608299366,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX098367,Illumina Genome Analyzer IIx,ZI467_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI467-HE,SRP006733
SRR346926,WGS,316,4552715648,SAMN00727215,3106359618,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX098368,Illumina Genome Analyzer IIx,ZI112N_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI112N-HE,SRP006733
SRR346927,WGS,316,4872198284,SAMN00727216,3353524681,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX098369,Illumina Genome Analyzer IIx,ZI99_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI99-HE,SRP006733
SRR346928,WGS,316,5194888320,SAMN00727217,3573486709,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX098370,Illumina Genome Analyzer IIx,ZI358_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI358-HE,SRP006733
SRR346929,WGS,316,5570249552,SAMN00727218,3866351726,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX098371,Illumina Genome Analyzer IIx,ZI508_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI508-HE,SRP006733
SRR346930,WGS,316,4653473512,SAMN00727219,3236402977,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX098372,Illumina Genome Analyzer IIx,ZI398_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI398-HE,SRP006733
SRR346931,WGS,316,5655482968,SAMN00727220,3897530267,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX098373,Illumina Genome Analyzer IIx,ZI56_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI56-HE,SRP006733
SRR248059,WGS,292,4414489288,SAMN00622902,3052049269,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX071689,Illumina Genome Analyzer IIx,ZI316_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI316-HE,SRP006733
SRR248060,WGS,292,5469382796,SAMN00622903,3696151632,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX071690,Illumina Genome Analyzer IIx,ZI370_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI370-HE,SRP006733
SRR248108,WGS,292,6235957548,SAMN00622904,4208913089,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX071691,Illumina Genome Analyzer IIx,ZI460_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI460-HE,SRP006733
SRR248122,WGS,292,5810792116,SAMN00622905,3904176236,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX071692,Illumina Genome Analyzer IIx,ZI286_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI286-HE,SRP006733
SRR248123,WGS,292,5224251132,SAMN00622906,3508514771,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX071693,Illumina Genome Analyzer IIx,ZI76_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI76-HE,SRP006733
SRR248124,WGS,292,4994569188,SAMN00622907,3376042431,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX071694,Illumina Genome Analyzer IIx,ZI504_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI504-HE,SRP006733
SRR248125,WGS,292,5856761968,SAMN00622908,3962921250,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX071695,Illumina Genome Analyzer IIx,ZI279_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI279-HE,SRP006733
SRR248128,WGS,292,4619503364,SAMN00622910,3188654775,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX071701,Illumina Genome Analyzer IIx,ZI81_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI81-HE,SRP006733
SRR248129,WGS,292,5610775620,SAMN00622911,3873693953,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX071702,Illumina Genome Analyzer IIx,ZI165_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI165-HE,SRP006733
SRR248130,WGS,292,4863889260,SAMN00622912,3383210946,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX071704,Illumina Genome Analyzer IIx,ZI117_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI117-HE,SRP006733
SRR248131,WGS,292,5597187400,SAMN00622913,3889401546,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX071863,Illumina Genome Analyzer IIx,ZI458_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI458-HE,SRP006733
SRR309275,WGS,316,10505831748,SAMN00668429,7111745564,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX083295,Illumina Genome Analyzer IIx,ZI344_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-20T00:00:00Z,ZI344-HE,SRP006733
SRR309277,WGS,316,6160849444,SAMN00668431,4034290169,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX083297,Illumina Genome Analyzer IIx,ZI321_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-20T00:00:00Z,ZI321-HE,SRP006733
SRR309278,WGS,316,6281532056,SAMN00668432,4123417165,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX083298,Illumina Genome Analyzer IIx,ZI339_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-20T00:00:00Z,ZI339-HE,SRP006733
SRR309279,WGS,316,6454280408,SAMN00668433,4228579070,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX083299,Illumina Genome Analyzer IIx,ZI239_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-20T00:00:00Z,ZI239-HE,SRP006733
SRR309281,WGS,316,6148446128,SAMN00668438,3996949351,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX083301,Illumina Genome Analyzer IIx,ZI292_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-20T00:00:00Z,ZI292-HE,SRP006733
SRR353757,WGS,316,5955285756,SAMN00739503,3959462838,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX101505,Illumina Genome Analyzer IIx,ZI396_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI396-HE,SRP006733
SRR353758,WGS,316,6052066128,SAMN00739502,4234272239,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX101504,Illumina Genome Analyzer IIx,ZI517_3-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI517-HE,SRP006733
SRR353759,WGS,316,6013951472,SAMN00739504,4025158413,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX101506,Illumina Genome Analyzer IIx,ZI161_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI161-HE,SRP006733
SRR353760,WGS,316,5633256160,SAMN00739505,3873802466,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX101507,Illumina Genome Analyzer IIx,ZI477_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI477-HE,SRP006733
SRR353999,WGS,316,5639180528,SAMN00739506,3871933702,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX101625,Illumina Genome Analyzer IIx,ZI402_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI402-HE,SRP006733
SRR354000,WGS,316,4729591276,SAMN00739507,3149023699,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX101626,Illumina Genome Analyzer IIx,ZI357N_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI357N-HE,SRP006733
SRR354001,WGS,316,5442778628,SAMN00739508,3631365909,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX101627,Illumina Genome Analyzer IIx,ZI251N_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI251N-HE,SRP006733
SRR354002,WGS,316,5289426672,SAMN00739509,3600372105,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX101628,Illumina Genome Analyzer IIx,ZI392_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI392-HE,SRP006733
SRR354003,WGS,316,5651628084,SAMN00739510,3858869845,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX101629,Illumina Genome Analyzer IIx,ZI405_2-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI405-HE,SRP006733
SRR354004,WGS,316,5029777688,SAMN00739511,3468464780,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX101630,Illumina Genome Analyzer IIx,ZI384_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI384-HE,SRP006733
SRR326790,WGS,300,5601703500,SAMN00691259,3746666973,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX088422,Illumina Genome Analyzer IIx,ZI152_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI152-HE,SRP006733
SRR326791,WGS,300,5442806700,SAMN00691260,3622562663,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX088423,Illumina Genome Analyzer IIx,ZI421_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI421-HE,SRP006733
SRR326792,WGS,300,5670563700,SAMN00691261,3763163828,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX088424,Illumina Genome Analyzer IIx,ZI488_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI488-HE,SRP006733
SRR326793,WGS,300,6898989300,SAMN00691262,4567464873,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX088425,Illumina Genome Analyzer IIx,ZI320_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI320-HE,SRP006733
SRR326794,WGS,300,6357428100,SAMN00691263,4211005821,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX088426,Illumina Genome Analyzer IIx,ZI303_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI303-HE,SRP006733
SRR326795,WGS,300,6250665000,SAMN00691264,4133554222,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX088427,Illumina Genome Analyzer IIx,ZI524_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI524-HE,SRP006733
SRR326796,WGS,300,5933204100,SAMN00691377,3940004792,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX088428,Illumina Genome Analyzer IIx,ZI177_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI177-HE,SRP006733
SRR326797,WGS,300,6054223800,SAMN00691265,4020212887,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX088429,Illumina Genome Analyzer IIx,ZI311N_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI311N-HE,SRP006733
SRR326798,WGS,300,5973237600,SAMN00691266,3931060951,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX088430,Illumina Genome Analyzer IIx,ZI241_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI241-HE,SRP006733
SRR326799,WGS,300,4934385900,SAMN00691267,3236221412,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX088431,Illumina Genome Analyzer IIx,ZI437_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI437-HE,SRP006733
SRR326800,WGS,300,5809079700,SAMN00691268,3832907105,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX088432,Illumina Genome Analyzer IIx,ZI172_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI172-HE,SRP006733
SRR326801,WGS,300,5259646800,SAMN00691269,3476693761,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX088433,Illumina Genome Analyzer IIx,ZI27_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI27-HE,SRP006733
SRR326802,WGS,300,5857316400,SAMN00691270,3908810763,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX088434,Illumina Genome Analyzer IIx,ZI395_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI395-HE,SRP006733
SRR326933,WGS,300,5747068200,SAMN00691271,3835921605,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX088538,Illumina Genome Analyzer IIx,ZI134N_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI134N-HE,SRP006733
SRR202074,WGS,292,4994177032,SAMN00264885,3344103230,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX062049,Illumina Genome Analyzer IIx,ZI221_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI221-HE,SRP006733
SRR202075,WGS,292,5268223412,SAMN00264886,3532104477,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX062050,Illumina Genome Analyzer IIx,ZI207_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI207-HE,SRP006733
SRR202076,WGS,292,6579221360,SAMN00264887,4351878529,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX062051,Illumina Genome Analyzer IIx,ZI232_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI232-HE,SRP006733
SRR202077,WGS,292,5143720452,SAMN00264888,3410831706,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX062052,Illumina Genome Analyzer IIx,ZI26_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI26-HE,SRP006733
SRR202078,WGS,292,5797843376,SAMN00264889,3845846927,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX062053,Illumina Genome Analyzer IIx,ZI457_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI457-HE,SRP006733
SRR202079,WGS,292,5916684456,SAMN00264890,3920024885,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX062054,Illumina Genome Analyzer IIx,ZI276_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI276-HE,SRP006733
SRR202080,WGS,292,4423127816,SAMN00264891,2870057904,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX062055,Illumina Genome Analyzer IIx,ZI466_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI466-HE,SRP006733
SRR202081,WGS,292,4873946324,SAMN00264892,3169361324,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX062056,Illumina Genome Analyzer IIx,ZI267_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI267-HE,SRP006733
SRR202082,WGS,292,4855586532,SAMN00264893,3258674864,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX062057,Illumina Genome Analyzer IIx,ZI476_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI476-HE,SRP006733
SRR202083,WGS,292,7650946624,SAMN00264894,5112315281,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX062058,Illumina Genome Analyzer IIx,ZI291_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI291-HE,SRP006733
SRR202085,WGS,292,5470329460,SAMN00264917,3519809220,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX062060,Illumina Genome Analyzer IIx,ZI394N_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI394N-HE,SRP006733
SRR202089,WGS,292,5502321856,SAMN00264919,3585270770,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX062063,Illumina Genome Analyzer IIx,ZI157_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI157-HE,SRP006733
SRR202093,WGS,292,4800021268,SAMN00264921,3152199399,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX062067,Illumina Genome Analyzer IIx,ZI231_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI231-HE,SRP006733
SRR202094,WGS,292,4783308940,SAMN00264922,3164705656,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX062070,Illumina Genome Analyzer IIx,ZI269_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI269-HE,SRP006733
SRR202095,WGS,292,6134876784,SAMN00264923,4032323465,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX062071,Illumina Genome Analyzer IIx,ZI264_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI264-HE,SRP006733
SRR202099,WGS,292,5856417992,SAMN00264924,3888254905,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX062074,Illumina Genome Analyzer IIx,ZI295_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-21T00:00:00Z,ZI295-HE,SRP006733
SRR202100,WGS,292,6096830352,SAMN00264925,4044086558,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX062075,Illumina Genome Analyzer IIx,ZI418N_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-21T00:00:00Z,ZI418N-HE,SRP006733
SRR202112,WGS,292,6083852412,SAMN00264928,3992405339,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX062083,Illumina Genome Analyzer IIx,ZI59_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-21T00:00:00Z,ZI59-HE,SRP006733
