Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,strain,run_center (run),run_machine_id (run),AssemblyName,source_of_DNA,read_mask (run)
SRR933592,WGS,150,5605509900,PRJNA36679,SAMN00017021,3298160519,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX023451,Illumina Genome Analyzer II,IWG_DGRP.737_001pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-07-11T00:00:00Z,BCM-DGRP737,SRP000694,DGRP-737,,,GCA_000001215.1,,
SRR933593,WGS,150,5685338100,PRJNA36679,SAMN00014109,3315972149,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX021383,Illumina Genome Analyzer II,IWG_DGRP.738_001pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-07-11T00:00:00Z,BCM-DGRP738,SRP000694,DGRP-738,,,GCA_000001215.1,,
SRR933594,WGS,150,5574468000,PRJNA36679,SAMN00014111,3245740514,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX021385,Illumina Genome Analyzer II,IWG_DGRP.757_001pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-07-11T00:00:00Z,BCM-DGRP757,SRP000694,DGRP-757,,,GCA_000001215.1,,
SRR933595,WGS,150,2992008150,PRJNA36679,SAMN00014248,1554744314,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006169,Illumina Genome Analyzer,IWG_DGRP.DMEL.BH_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-07-11T00:00:00Z,BCM-DGRP765,SRP000694,DGRP-765,,,GCA_000001215.1,,
SRR933596,WGS,90,2107785780,PRJNA36679,SAMN00014250,1104222678,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006171,Illumina Genome Analyzer,IWG_DGRP.786_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-07-11T00:00:00Z,BCM-DGRP786,SRP000694,DGRP-786,,,GCA_000001215.1,,
SRR933597,WGS,150,3104022150,PRJNA36679,SAMN00014251,1621503138,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006173,Illumina Genome Analyzer,IWG_DGRP.DMEL.BK_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-07-11T00:00:00Z,BCM-DGRP799,SRP000694,DGRP-799,,,GCA_000001215.1,,
SRR933598,WGS,150,2824985700,PRJNA36679,SAMN00014252,1478004052,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006174,Illumina Genome Analyzer,IWG_DGRP.DMEL.BL_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-07-11T00:00:00Z,BCM-DGRP820,SRP000694,DGRP-820,,,GCA_000001215.1,,
SRR933599,WGS,190,4409096110,PRJNA36679,SAMN00014181,1563087647,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX021479,Illumina Genome Analyzer II,IWG_DGRP.837_001pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-07-11T00:00:00Z,BCM-DGRP837,SRP000694,DGRP-837,,,GCA_000001215.1,,
SRR933600,WGS,150,2768961600,PRJNA36679,SAMN00014253,1271015209,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006176,Illumina Genome Analyzer,IWG_DGRP.DMEL.BO_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-07-11T00:00:00Z,BCM-DGRP859,SRP000694,DGRP-859,,,GCA_000001215.1,,
SRR933601,WGS,150,5316959100,PRJNA36679,SAMN00017025,2879847863,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX023457,Illumina Genome Analyzer II,IWG_DGRP.897_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-07-11T00:00:00Z,BCM-DGRP897,SRP000694,DGRP-897,,,GCA_000001215.1,,
SRR018292,WGS,90,1101746700,PRJNA36679,SAMN00014235,754924018,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006151,Illumina Genome Analyzer,IWG_DGRP.391_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2009-07-13T00:00:00Z,BCM-DGRP391,SRP000694,DGRP-391,BCM,,,,
SRR018293,WGS,90,768973050,PRJNA36679,SAMN00014235,525926565,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006151,Illumina Genome Analyzer,IWG_DGRP.391_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2009-07-13T00:00:00Z,BCM-DGRP391,SRP000694,DGRP-391,BCM,,,,
SRR018294,WGS,150,1419558000,PRJNA36679,SAMN00014235,867695628,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006152,Illumina Genome Analyzer,IWG_DGRP.391_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2009-09-25T00:00:00Z,BCM-DGRP391,SRP000694,DGRP-391,BCM,,,,
SRR018305,WGS,150,1777364250,PRJNA36679,SAMN00014240,1085870139,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006158,Illumina Genome Analyzer,IWG_DGRP.DMEL.AX_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2009-07-17T00:00:00Z,BCM-DGRP514,SRP000694,DGRP-514,BCM,,,,
SRR018306,WGS,150,1676555100,PRJNA36679,SAMN00014240,1000624559,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006158,Illumina Genome Analyzer,IWG_DGRP.DMEL.AX_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2009-07-17T00:00:00Z,BCM-DGRP514,SRP000694,DGRP-514,BCM,,,,
SRR018517,WGS,90,817426530,PRJNA36679,SAMN00014255,399763922,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006275,Illumina Genome Analyzer,IWG_DGRP.DMEL.AG_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2009-09-08T00:00:00Z,BCM-DGRP313,SRP000694,DGRP-313,BCM,,,,
SRR018518,WGS,72,341203536,PRJNA36679,SAMN00014255,168209943,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006276,Illumina Genome Analyzer,IWG_DGRP.DMEL.AG_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2009-07-17T00:00:00Z,BCM-DGRP313,SRP000694,DGRP-313,BCM,,,,
SRR018521,WGS,90,1930574880,PRJNA36679,SAMN00014256,1416917780,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006278,Illumina Genome Analyzer,IWG_DGRP.DMEL.33_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2009-07-17T00:00:00Z,BCM-DGRP335,SRP000694,DGRP-335,BCM,,,,
SRR018522,WGS,90,792753030,PRJNA36679,SAMN00014256,380795294,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006279,Illumina Genome Analyzer,IWG_DGRP.DMEL.33_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2009-07-22T00:00:00Z,BCM-DGRP335,SRP000694,DGRP-335,BCM,,,,
SRR018574,WGS,150,1023061650,PRJNA36679,SAMN00014257,626101214,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006282,Illumina Genome Analyzer,IWG_DGRP.DMEL.AL_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2009-11-23T00:00:00Z,BCM-DGRP358,SRP000694,DGRP-358,BCM,,,,
SRR018579,WGS,90,827774820,PRJNA36679,SAMN00014259,559052783,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006289,Illumina Genome Analyzer,IWG_DGRP.DMEL.AO_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2009-07-17T00:00:00Z,BCM-DGRP365,SRP000694,DGRP-365,BCM,,,,
SRR018580,WGS,150,1514636400,PRJNA36679,SAMN00014259,943249434,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006290,Illumina Genome Analyzer,IWG_DGRP.DMEL.AO_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2009-07-17T00:00:00Z,BCM-DGRP365,SRP000694,DGRP-365,BCM,,,,
SRR018582,WGS,90,855313200,PRJNA36679,SAMN00014260,572915101,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006292,Illumina Genome Analyzer,IWG_DGRP.DMEL.AQ_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2009-07-17T00:00:00Z,BCM-DGRP379,SRP000694,DGRP-379,BCM,,,,
SRR018591,WGS,148,1486859800,PRJNA36679,SAMN00014261,1073314948,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006300,Illumina Genome Analyzer,IWG_DGRP.DMEL.AR_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2009-07-17T00:00:00Z,BCM-DGRP380,SRP000694,DGRP-380,BCM,,,,
SRR018592,WGS,150,1528571700,PRJNA36679,SAMN00014261,1084138902,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006300,Illumina Genome Analyzer,IWG_DGRP.DMEL.AR_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2009-07-17T00:00:00Z,BCM-DGRP380,SRP000694,DGRP-380,BCM,,,,
SRR018593,WGS,150,1545400500,PRJNA36679,SAMN00014261,1095428057,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006300,Illumina Genome Analyzer,IWG_DGRP.DMEL.AR_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2009-07-22T00:00:00Z,BCM-DGRP380,SRP000694,DGRP-380,BCM,,,,
SRR018598,WGS,90,82710630,PRJNA36679,SAMN00014262,32489395,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006304,Illumina Genome Analyzer,IWG_DGRP.DMEL.BN_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2009-09-07T00:00:00Z,BCM-DGRP852,SRP000694,DGRP-852,BCM,,,,
SRR018599,WGS,90,886906080,PRJNA36679,SAMN00014262,425122289,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006304,Illumina Genome Analyzer,IWG_DGRP.DMEL.BN_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2009-07-17T00:00:00Z,BCM-DGRP852,SRP000694,DGRP-852,BCM,,,,
SRR018600,WGS,150,1748961750,PRJNA36679,SAMN00014262,1109580884,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006304,Illumina Genome Analyzer,IWG_DGRP.DMEL.BN_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2009-07-17T00:00:00Z,BCM-DGRP852,SRP000694,DGRP-852,BCM,,,,
SRR018601,WGS,150,1938253500,PRJNA36679,SAMN00014262,1182275846,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006304,Illumina Genome Analyzer,IWG_DGRP.DMEL.BN_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2009-07-21T00:00:00Z,BCM-DGRP852,SRP000694,DGRP-852,BCM,,,,
SRR018602,WGS,90,910875870,PRJNA36679,SAMN00014262,452636439,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006304,Illumina Genome Analyzer,IWG_DGRP.DMEL.BN_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2009-08-20T00:00:00Z,BCM-DGRP852,SRP000694,DGRP-852,BCM,,,,
SRR048925,WGS,150,2951347200,PRJNA36679,SAMN00013679,2089845968,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX020762,Illumina Genome Analyzer II,IWG_DGRP.176_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2010-06-11T00:00:00Z,BCM-DGRP176,SRP000694,DGRP-176,,,,,
SRR048926,WGS,150,3048417300,PRJNA36679,SAMN00013679,2205797061,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX020763,Illumina Genome Analyzer II,IWG_DGRP.176_001pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2010-05-22T00:00:00Z,BCM-DGRP176,SRP000694,DGRP-176,,,,,
SRR049811,WGS,190,3800472340,PRJNA36679,SAMN00013950,2647034721,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX021057,Illumina Genome Analyzer II,IWG_DGRP.272_001pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2010-05-24T00:00:00Z,BCM-DGRP272,SRP000694,DGRP-272,,,,,
SRR060821,WGS,150,2474878050,PRJNA36679,SAMN00017373,1692604292,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX023837,Illumina Genome Analyzer II,IWG_DGRP.589_001pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2010-07-22T00:00:00Z,BCM-DGRP589,SRP000694,DGRP-589,,,,,
SRR051592,WGS,150,1477089750,PRJNA36679,SAMN00014019,1034968406,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX021252,Illumina Genome Analyzer II,IWG_DGRP.398_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2010-06-11T00:00:00Z,BCM-DGRP398,SRP000694,DGRP-398,,,,,
SRR051593,WGS,150,1497797400,PRJNA36679,SAMN00014019,1049010969,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX021252,Illumina Genome Analyzer II,IWG_DGRP.398_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2010-06-11T00:00:00Z,BCM-DGRP398,SRP000694,DGRP-398,,,,,
SRR051594,WGS,190,5503551210,PRJNA36679,SAMN00013987,2892763103,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX021253,Illumina Genome Analyzer II,IWG_DGRP.378_001pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2010-05-25T00:00:00Z,BCM-DGRP378,SRP000694,DGRP-378,,,,,
SRR051896,WGS,150,3103097550,PRJNA36679,SAMN00014036,2204343882,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX021294,Illumina Genome Analyzer II,IWG_DGRP.554_001pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2010-05-26T00:00:00Z,BCM-DGRP554,SRP000694,DGRP-554,,,,,
SRR051905,WGS,150,2389127700,PRJNA36679,SAMN00014044,1709816501,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX021330,Illumina Genome Analyzer II,IWG_DGRP.591_001pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2010-05-26T00:00:00Z,BCM-DGRP591,SRP000694,DGRP-591,,,,,
SRR060062,WGS,190,3170568190,PRJNA36679,SAMN00017018,2064500148,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX023428,Illumina Genome Analyzer II,IWG_DGRP.393_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2010-07-15T00:00:00Z,BCM-DGRP393,SRP000694,DGRP-393,,,,,
SRR060098,WGS,190,3602503930,PRJNA36679,SAMN00014235,2355483737,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX023452,Illumina Genome Analyzer II,IWG_DGRP.391_001pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2010-07-15T00:00:00Z,BCM-DGRP391,SRP000694,DGRP-391,,,,,
SRR833244,WGS,250,10917622250,PRJNA36679,SAMN01057298,5309084020,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX156026,Illumina Genome Analyzer IIx,IWG_DGRP.100-2_1pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-04-24T00:00:00Z,100,SRP000694,DGRP-100,,,GCA_000001215.1,whole individuals,
