Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,quality_book_char (run)
SRR306608,WGS,176,2882404800,PRJNA30085,SAMN00205355,2000054468,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX040491,Illumina Genome Analyzer II,ycnbwsp_8-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2011-07-11T00:00:00Z,ycnbwsp-HE,SRP005599,
SRR306609,WGS,176,6601170928,PRJNA30085,SAMN00260227,4690210904,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX058382,Illumina Genome Analyzer IIx,UM37_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2011-07-27T00:00:00Z,UM37-HE,SRP005599,
SRR306611,WGS,176,6288263520,PRJNA30085,SAMN00260226,4367539103,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX058381,Illumina Genome Analyzer IIx,UM118_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2011-07-27T00:00:00Z,UM118-HE,SRP005599,
SRR306612,WGS,176,6998035616,PRJNA30085,SAMN00260228,4976656802,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX058383,Illumina Genome Analyzer IIx,UM526_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2011-07-27T00:00:00Z,UM526-HE,SRP005599,
SRR306614,WGS,176,6700037872,PRJNA30085,SAMN00260180,4757285867,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX058291,Illumina Genome Analyzer IIx,SP254_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2011-07-27T00:00:00Z,SP254-HE,SRP005599,
SRR306616,WGS,176,6865248016,PRJNA30085,SAMN00260238,4835674871,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX058391,Illumina Genome Analyzer IIx,ZL130_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2011-07-27T00:00:00Z,ZL130-HE,SRP005599,
SRR306618,WGS,176,6265747488,PRJNA30085,SAMN00260182,4283957457,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX058293,Illumina Genome Analyzer IIx,ZO12_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2011-07-27T00:00:00Z,ZO12-HE,SRP005599,
SRR306619,WGS,176,6482333088,PRJNA30085,SAMN00260188,4494623385,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX058343,Illumina Genome Analyzer IIx,RG18N_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2011-07-27T00:00:00Z,RG18N-HE,SRP005599,
SRR306621,WGS,292,6381579408,PRJNA30085,SAMN00260214,4508519553,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX058370,Illumina Genome Analyzer IIx,RG8_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2011-07-27T00:00:00Z,RG8-HE,SRP005599,
SRR306622,WGS,292,4813940908,PRJNA30085,SAMN00260202,3205467250,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX058358,Illumina Genome Analyzer IIx,RG37N_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2011-07-27T00:00:00Z,RG37N-HE,SRP005599,
SRR306623,WGS,292,5173081344,PRJNA30085,SAMN00260175,3593972500,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX058286,Illumina Genome Analyzer IIx,SP173_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2011-07-27T00:00:00Z,SP173-HE,SRP005599,
SRR306624,WGS,292,6416818844,PRJNA30085,SAMN00260212,4459246247,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX058368,Illumina Genome Analyzer IIx,RG6N_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2011-07-27T00:00:00Z,RG6N-HE,SRP005599,
SRR306629,WGS,292,7257801912,PRJNA30085,SAMN00260210,5109841164,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX058362,Illumina Genome Analyzer IIx,RG4N_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2011-07-27T00:00:00Z,RG4N-HE,SRP005599,
SRR306630,WGS,292,4969094816,PRJNA30085,SAMN00260206,3519818024,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX058360,Illumina Genome Analyzer IIx,RG39_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2011-07-27T00:00:00Z,RG39-HE,SRP005599,
SRR306631,WGS,292,4897518608,PRJNA30085,SAMN00260178,3428063304,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX058289,Illumina Genome Analyzer IIx,SP235_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2011-07-27T00:00:00Z,SP235-HE,SRP005599,
SRR306632,WGS,292,5371943272,PRJNA30085,SAMN00260176,3728309137,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX058287,Illumina Genome Analyzer IIx,SP188_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2011-07-27T00:00:00Z,SP188-HE,SRP005599,
SRR306633,WGS,292,5383014744,PRJNA30085,SAMN00260093,3748965641,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX058159,Illumina Genome Analyzer IIx,CO9N_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2011-07-27T00:00:00Z,CO9N,SRP005599,
SRR306634,WGS,292,5065506208,PRJNA30085,SAMN00260186,3309950674,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX058340,Illumina Genome Analyzer IIx,RG13N_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2011-07-27T00:00:00Z,RG13N-HE,SRP005599,
SRR350908,WGS,152,3314543312,PRJNA30085,SAMN00205350,2520729447,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX040484,Illumina Genome Analyzer II,ycnbwsp_2,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2011-10-06T00:00:00Z,ycnbwsp,SRP005599,
SRR097730,WGS,152,6309464216,PRJNA30085,SAMN00205349,3944575622,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX040483,Illumina Genome Analyzer II,GA187_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2011-04-23T00:00:00Z,GA187-HE,SRP005599,
SRR097732,WGS,152,3680898728,PRJNA30085,SAMN00205355,1865212439,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX040485,Illumina Genome Analyzer II,ycnbwsp_3-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2011-04-23T00:00:00Z,ycnbwsp-HE,SRP005599,@
SRR098017,WGS,72,430859376,PRJNA30085,SAMN00205553,312598017,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX040656,Illumina Genome Analyzer II,RAL-301_1-new,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2012-02-04T00:00:00Z,RAL-301_new,SRP005599,
SRR098018,WGS,72,466265376,PRJNA30085,SAMN00205553,334472997,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX040656,Illumina Genome Analyzer II,RAL-301_1-new,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2012-02-04T00:00:00Z,RAL-301_new,SRP005599,
SRR098019,WGS,72,480890376,PRJNA30085,SAMN00205553,344354291,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX040656,Illumina Genome Analyzer II,RAL-301_1-new,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2012-02-04T00:00:00Z,RAL-301_new,SRP005599,
SRR098020,WGS,72,575335728,PRJNA30085,SAMN00205554,429424407,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX040657,Illumina Genome Analyzer II,diTAG-RAL-357_1,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2012-02-04T00:00:00Z,diTAG-RAL-357,SRP005599,
SRR098021,WGS,72,456952320,PRJNA30085,SAMN00205555,328370980,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX040658,Illumina Genome Analyzer II,RAL-304_1,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2012-02-04T00:00:00Z,RAL-304,SRP005599,
SRR098022,WGS,72,427328496,PRJNA30085,SAMN00205556,306252725,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX040659,Illumina Genome Analyzer II,RAL-639_1,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2012-02-04T00:00:00Z,RAL-639,SRP005599,
SRR098319,WGS,152,1229873344,PRJNA30085,SAMN00205609,738467748,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX040754,Illumina Genome Analyzer II,UG11-3_1,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2012-02-06T00:00:00Z,UG11-3,SRP005599,
SRR098320,WGS,152,1307898136,PRJNA30085,SAMN00205609,798658404,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX040754,Illumina Genome Analyzer II,UG11-3_1,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2012-02-06T00:00:00Z,UG11-3,SRP005599,
SRR098322,WGS,152,1270747968,PRJNA30085,SAMN00205610,756592960,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX040755,Illumina Genome Analyzer II,UG17-3_1,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2011-07-27T00:00:00Z,UG17-3,SRP005599,
SRR098323,WGS,152,1293105648,PRJNA30085,SAMN00205610,837528807,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX040755,Illumina Genome Analyzer II,UG17-3_1,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2011-07-27T00:00:00Z,UG17-3,SRP005599,
SRR098324,WGS,152,836746776,PRJNA30085,SAMN00205611,431942818,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX040756,Illumina Genome Analyzer II,UG40-3_1,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2011-07-27T00:00:00Z,UG40-3,SRP005599,
SRR098325,WGS,152,841477472,PRJNA30085,SAMN00205611,450685300,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX040756,Illumina Genome Analyzer II,UG40-3_1,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2011-07-27T00:00:00Z,UG40-3,SRP005599,
SRR098910,WGS,152,1306147856,PRJNA30085,SAMN00210500,819148611,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX041214,Illumina Genome Analyzer II,E02_1,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2012-02-07T00:00:00Z,E02,SRP005599,
SRR098911,WGS,152,1300629496,PRJNA30085,SAMN00210501,762638931,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX041215,Illumina Genome Analyzer II,E12_1,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2012-02-07T00:00:00Z,E12,SRP005599,
SRR098912,WGS,152,1191530888,PRJNA30085,SAMN00210502,702288743,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX041216,Illumina Genome Analyzer II,E13_1,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2012-02-07T00:00:00Z,E13,SRP005599,
SRR098913,WGS,152,1305168216,PRJNA30085,SAMN00210503,775470296,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX041217,Illumina Genome Analyzer II,E14_1,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2012-02-07T00:00:00Z,E14,SRP005599,
SRR098914,WGS,152,1320190832,PRJNA30085,SAMN00210504,869550051,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX041218,Illumina Genome Analyzer II,E19_1,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2012-02-07T00:00:00Z,E19,SRP005599,
SRR098915,WGS,152,1314238968,PRJNA30085,SAMN00210505,729946243,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX041219,Illumina Genome Analyzer II,CO8b-3_1,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2012-02-07T00:00:00Z,CO8b-3,SRP005599,
SRR098916,WGS,152,1311163552,PRJNA30085,SAMN00210506,719116949,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX041220,Illumina Genome Analyzer II,CO10b-3_1,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2012-02-07T00:00:00Z,CO10b-3,SRP005599,
SRR098917,WGS,152,1094019392,PRJNA30085,SAMN00210507,534471845,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX041221,Illumina Genome Analyzer II,CO13-3_1,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2012-02-07T00:00:00Z,CO13-3,SRP005599,
SRR100098,WGS,72,684150264,PRJNA30085,SAMN00210907,505108449,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX042066,Illumina Genome Analyzer II,W501_1,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2012-02-04T00:00:00Z,W501,SRP005599,
SRR189038,WGS,152,5324359056,PRJNA30085,SAMN00260078,3139157464,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX058145,Illumina Genome Analyzer IIx,CK1_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2011-07-27T00:00:00Z,CK1,SRP005599,
SRR189040,WGS,292,6025672288,PRJNA30085,SAMN00260079,4044912570,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX058146,Illumina Genome Analyzer IIx,CK2_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2011-07-27T00:00:00Z,CK2-HE,SRP005599,
SRR189041,WGS,152,4788575472,PRJNA30085,SAMN00260081,2832197688,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX058148,Illumina Genome Analyzer IIx,CO1_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2011-07-27T00:00:00Z,CO1,SRP005599,
SRR189042,WGS,152,1961570792,PRJNA30085,SAMN00260082,1371435542,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX058149,Illumina Genome Analyzer IIx,CO10-3_1,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2011-07-27T00:00:00Z,CO10-3,SRP005599,
SRR189043,WGS,152,1311163552,PRJNA30085,SAMN00260082,718578935,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX058149,Illumina Genome Analyzer IIx,CO10-3_1,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2011-07-27T00:00:00Z,CO10-3,SRP005599,
SRR189044,WGS,152,3743175560,PRJNA30085,SAMN00260083,2184896645,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX058150,Illumina Genome Analyzer IIx,CO10N_2-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2011-07-27T00:00:00Z,CO10N,SRP005599,
SRR189045,WGS,292,5277075100,PRJNA30085,SAMN00260084,3544884468,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX058151,Illumina Genome Analyzer IIx,CO13N_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2011-07-27T00:00:00Z,CO13N,SRP005599,
SRR189046,WGS,152,3768275320,PRJNA30085,SAMN00260085,1763335744,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX058152,Illumina Genome Analyzer IIx,CO14_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2011-07-27T00:00:00Z,CO14,SRP005599,
SRR189047,WGS,152,5801805648,PRJNA30085,SAMN00260086,3491449680,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX058153,Illumina Genome Analyzer IIx,CO15N_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2011-07-27T00:00:00Z,CO15N,SRP005599,
SRR189048,WGS,152,3711667480,PRJNA30085,SAMN00260087,2194948978,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX058154,Illumina Genome Analyzer IIx,CO16_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2011-07-27T00:00:00Z,CO16,SRP005599,
SRR189049,WGS,152,4975219768,PRJNA30085,SAMN00260088,2924565367,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX058155,Illumina Genome Analyzer IIx,CO2_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2011-07-27T00:00:00Z,CO2,SRP005599,
SRR189050,WGS,152,4981623832,PRJNA30085,SAMN00260090,3024901707,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX058156,Illumina Genome Analyzer IIx,CO4N_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2011-07-27T00:00:00Z,CO4N,SRP005599,
SRR189051,WGS,152,2000612448,PRJNA30085,SAMN00260091,1409878759,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX058157,Illumina Genome Analyzer IIx,CO8-3_1,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2011-07-27T00:00:00Z,CO8-3,SRP005599,
SRR189052,WGS,152,1314238968,PRJNA30085,SAMN00260091,729382256,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX058157,Illumina Genome Analyzer IIx,CO8-3_1,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2011-07-27T00:00:00Z,CO8-3,SRP005599,
SRR189053,WGS,152,4743707960,PRJNA30085,SAMN00260092,2854080120,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX058158,Illumina Genome Analyzer IIx,CO8N_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2011-07-27T00:00:00Z,CO8N,SRP005599,
SRR189056,WGS,152,5120201624,PRJNA30085,SAMN00260095,3144134284,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX058161,Illumina Genome Analyzer IIx,ED10N_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2011-07-27T00:00:00Z,ED10N,SRP005599,
SRR189057,WGS,152,3595170576,PRJNA30085,SAMN00260096,2454403156,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX058162,Illumina Genome Analyzer IIx,ED19-1-3_1,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2011-07-27T00:00:00Z,ED19-1-3,SRP005599,
SRR189058,WGS,152,4274396408,PRJNA30085,SAMN00260097,2052898481,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX058163,Illumina Genome Analyzer IIx,ED2_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2011-07-27T00:00:00Z,ED2,SRP005599,
SRR189059,WGS,152,4130194920,PRJNA30085,SAMN00260098,1992218617,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX058164,Illumina Genome Analyzer IIx,ED3_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2011-07-27T00:00:00Z,ED3,SRP005599,
SRR189073,WGS,152,245327544,PRJNA30085,SAMN00260100,172455110,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX058170,Illumina Genome Analyzer IIx,ED55-2_1,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2011-07-27T00:00:00Z,ED55-2,SRP005599,
SRR189074,WGS,152,900743792,PRJNA30085,SAMN00260100,610873998,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX058170,Illumina Genome Analyzer IIx,ED55-2_1,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2011-07-27T00:00:00Z,ED55-2,SRP005599,
SRR189075,WGS,152,3360770768,PRJNA30085,SAMN00260101,2397045894,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX058172,Illumina Genome Analyzer IIx,ED56-2_1,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2011-05-11T00:00:00Z,ED56-2,SRP005599,
SRR189076,WGS,152,4912253920,PRJNA30085,SAMN00260102,2991019186,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX058173,Illumina Genome Analyzer IIx,ED5N_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2011-07-27T00:00:00Z,ED5N-HE,SRP005599,
SRR189077,WGS,152,4950518704,PRJNA30085,SAMN00260103,3050109024,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX058174,Illumina Genome Analyzer IIx,ED6N_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2011-07-27T00:00:00Z,ED6N-HE,SRP005599,
