line,resistance,7bp_ins_1,8bp_ins_2,21bp_ins_3,comment,8bp_dgrp2_call,snp_in_21bp_indel
332,0.04,A,D,A,NA,D,A
336,0.11,A,D,A,NA,D,G
338,0.15,A,NA,NA,het 8bp,NA,NA
340,0.01,A,D,A,NA,D,G
348,0.15,D,A,NA,NA,A,NA
350,0.1,D,A,A,NA,A,G
352,0.09,A,NA,NA,het 8bp,NA,NA
354,0.01,A,A,A,NA,A,G
355,0.04,A,A,A,NA,A,G
356,0.07,A,D,A,NA,D,A
357,0.02,A,D,A,NA,D,A
358,0.06,D,A,A,NA,A,G
360,0,A,D,A,NA,D,A
361,0.06,A,D,A,NA,NA,A
362,0.05,A,A,A,NA,A,G
365,0.28,A,D,A,NA,D,G
370,0.01,A,D,A,NA,D,A
371,NA,A,D,A,NA,D,A
373,0,D,D,A,NA,D,G
374,0.1,A,D,A,NA,D,G
375,0.11,D,A,D,NA,NA,NA
377,NA,A,NA,NA,het 8bp,NA,NA
379,0.1,A,D,A,NA,D,G
380,0.09,A,D,A,NA,D,G
381,0.01,NA,A,A,NA,A,G
382,0.07,A,D,A,NA,D,G
385,0.08,A,D,A,NA,D,A
386,0.03,D,A,A,NA,NA,G
390,0.03,A,A,A,NA,A,G
391,0.21,A,D,A,NA,D,G
392,0.02,A,D,A,NA,D,A
395,0.03,A,D,A,NA,D,A
397,0.07,A,D,A,NA,D,A
399,0.15,A,D,A,NA,D,A
405,0.02,A,NA,NA,het 8bp,NA,NA
406,0.02,D,A,A,NA,A,G
409,0.04,D,D,A,NA,D,G
426,0.09,NA,NA,NA,het 7bp,NA,NA
427,0,A,D,A,NA,D,A
437,0.39,A,D,A,NA,D,A
439,0.15,A,D,A,NA,D,G
440,0.12,A,D,A,NA,D,G
441,0.02,A,D,A,NA,D,G
443,0,D,A,A,NA,NA,G
461,0.02,D,D,A,NA,D,G
486,0.08,D,D,A,NA,D,G
491,0.02,A,D,A,NA,D,G
492,0.04,D,A,A,NA,A,G
502,0.08,A,NA,A,het 8bp,NA,G
508,0.02,A,D,A,NA,D,G
509,0.05,D,D,A,NA,D,A
517,0.13,A,A,A,NA,A,G
528,0.16,A,NA,NA,het 8bp,NA,NA
530,0.31,A,D,A,NA,D,G
531,0.05,A,D,A,NA,D,G
535,0.05,A,D,A,NA,D,A
551,0.11,A,D,A,NA,D,G
555,0.08,A,D,A,NA,D,G
559,0.14,D,A,D,NA,A,NA
563,0.21,A,D,A,NA,D,A
566,0.48,A,D,A,NA,D,A
584,0.14,A,A,A,NA,NA,G
589,0.48,A,D,A,NA,D,G
595,0,A,A,A,NA,A,G
596,0.03,A,D,A,NA,D,A
627,0.07,D,A,A,NA,A,G
703,0.03,A,D,A,NA,D,A
705,0.08,A,D,A,NA,D,G
712,0.04,A,A,A,NA,A,G
714,0.01,D,D,A,NA,D,G
716,0.05,A,D,A,NA,D,G
721,0.03,A,D,A,NA,D,G
732,0.06,A,D,A,NA,D,G
737,0.04,A,D,A,NA,D,G
738,NA,A,D,A,NA,D,G
748,0.07,D,A,A,NA,A,G
757,NA,A,D,A,NA,D,G
774,0.11,A,D,A,NA,D,G
776,0.06,A,D,A,NA,D,G
783,0.15,A,D,A,NA,D,G
786,0.03,A,D,A,NA,D,G
787,0.07,A,D,A,NA,D,A
790,0.15,A,D,A,NA,D,G
796,0.07,A,A,A,NA,NA,G
802,0.05,A,D,A,NA,D,A
804,0.06,A,D,A,NA,D,G
808,0.05,A,D,A,NA,D,G
810,0.24,A,D,A,NA,D,G
812,0.27,A,NA,NA,het 8bp,NA,NA
818,0.07,A,D,A,NA,D,A
819,0.05,A,D,A,NA,D,A
820,0.29,D,D,A,NA,D,G
821,0.07,A,D,A,NA,D,A
822,0.11,A,A,A,NA,NA,G
832,0.78,A,A,A,NA,A,G
843,0.18,A,D,A,NA,D,A
849,0.14,A,D,A,NA,NA,A
850,0.11,A,D,A,NA,D,A
852,0.17,A,D,A,NA,D,A
853,0.06,A,D,A,NA,D,A
855,0.04,A,D,A,NA,D,G
857,0.02,A,D,A,NA,D,G
859,0.13,A,D,A,NA,D,A
861,0.06,A,D,A,NA,D,A
879,0.07,A,D,A,NA,D,A
882,0.02,A,D,A,NA,D,A
884,0.11,A,D,A,NA,D,G
890,0.06,A,D,A,NA,D,A
892,0.03,D,A,D,NA,A,NA
894,0.03,A,A,A,NA,A,G
897,0.31,A,D,A,NA,D,G
900,0.03,A,D,A,NA,D,G
907,0.08,A,D,A,NA,D,G
908,0.06,A,D,A,NA,D,A
911,0.04,D,D,A,NA,D,G
913,0.11,A,D,A,NA,D,G
