Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sex,SRA Study,strain,tissue
SRR3734072,WGS,190,2935297270,PRJNA327349,SAMN05330457,Model organism or animal,2135029927,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889839,Illumina HiSeq 2000,EG57N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,EG57N,female,SRP077652,EG57N,Whole organism
SRR3734073,WGS,202,2857062750,PRJNA327349,SAMN05330458,Model organism or animal,1934333229,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889840,Illumina HiSeq 2000,EG58N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,EG58N,female,SRP077652,EG58N,Whole organism
SRR3734074,WGS,190,1537898760,PRJNA327349,SAMN05330459,Model organism or animal,1059776110,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889841,Illumina HiSeq 2000,EG59N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,EG59N,female,SRP077652,EG59N,Whole organism
SRR3734075,WGS,190,2464411530,PRJNA327349,SAMN05330361,Model organism or animal,1799275468,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889842,Illumina HiSeq 2000,EA58N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,EA58N,female,SRP077652,EA58N,Whole organism
SRR3734076,WGS,190,1809215910,PRJNA327349,SAMN05330460,Model organism or animal,1233104158,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889843,Illumina HiSeq 2000,EG65N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,EG65N,female,SRP077652,EG65N,Whole organism
SRR3734077,WGS,190,2215681010,PRJNA327349,SAMN05330461,Model organism or animal,1568024304,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889844,Illumina HiSeq 2000,EG70N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,EG70N,female,SRP077652,EG70N,Whole organism
SRR3734078,WGS,190,4864931380,PRJNA327349,SAMN05330462,Model organism or animal,3391973104,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889845,Illumina HiSeq 2000,EG71N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,EG71N,female,SRP077652,EG71N,Whole organism
SRR3734079,WGS,190,1243207430,PRJNA327349,SAMN05330463,Model organism or animal,842813494,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889846,Illumina HiSeq 2000,EG74N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,EG74N,female,SRP077652,EG74N,Whole organism
SRR3734080,WGS,190,1723680760,PRJNA327349,SAMN05330464,Model organism or animal,1134917528,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889847,Illumina HiSeq 2000,EG75N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,EG75N,female,SRP077652,EG75N,Whole organism
SRR3734081,WGS,202,3112499022,PRJNA327349,SAMN05330465,Model organism or animal,2089594018,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889848,Illumina HiSeq 2000,EG76N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,EG76N,female,SRP077652,EG76N,Whole organism
SRR3734082,WGS,190,1334344160,PRJNA327349,SAMN05330466,Model organism or animal,891298367,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889849,Illumina HiSeq 2000,FR106N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,FR106N,female,SRP077652,FR106N,Whole organism
SRR3734083,WGS,190,4324657260,PRJNA327349,SAMN05330467,Model organism or animal,3021161355,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889850,Illumina HiSeq 2000,FR109N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,FR109N,female,SRP077652,FR109N,Whole organism
SRR3734084,WGS,190,2488147470,PRJNA327349,SAMN05330468,Model organism or animal,1820906677,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889851,Illumina HiSeq 2000,FR110N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,FR110N,female,SRP077652,FR110N,Whole organism
SRR3734085,WGS,190,3227899930,PRJNA327349,SAMN05330469,Model organism or animal,2257983865,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889852,Illumina HiSeq 2000,FR112N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,FR112N,female,SRP077652,FR112N,Whole organism
SRR3734086,WGS,190,1809824290,PRJNA327349,SAMN05330362,Model organism or animal,1234318821,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889853,Illumina HiSeq 2000,EA59N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,EA59N,female,SRP077652,EA59N,Whole organism
SRR3734087,WGS,190,2121169120,PRJNA327349,SAMN05330470,Model organism or animal,1375141595,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889854,Illumina HiSeq 2000,FR113N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,FR113N,female,SRP077652,FR113N,Whole organism
SRR3734088,WGS,190,1860607110,PRJNA327349,SAMN05330471,Model organism or animal,1182265644,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889855,Illumina HiSeq 2000,FR115N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,FR115N,female,SRP077652,FR115N,Whole organism
SRR3734089,WGS,190,3297402120,PRJNA327349,SAMN05330472,Model organism or animal,2329152444,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889856,Illumina HiSeq 2000,FR11N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,FR11N,female,SRP077652,FR11N,Whole organism
SRR3734090,WGS,190,3363066880,PRJNA327349,SAMN05330473,Model organism or animal,2346467685,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889857,Illumina HiSeq 2000,FR126N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,FR126N,female,SRP077652,FR126N,Whole organism
SRR3734091,WGS,190,1796005020,PRJNA327349,SAMN05330474,Model organism or animal,1262187041,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889858,Illumina HiSeq 2000,FR128N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,FR128N,female,SRP077652,FR128N,Whole organism
SRR3734092,WGS,190,1925445560,PRJNA327349,SAMN05330475,Model organism or animal,1349530990,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889859,Illumina HiSeq 2000,FR12N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,FR12N,female,SRP077652,FR12N,Whole organism
SRR3734093,WGS,190,2403841430,PRJNA327349,SAMN05330476,Model organism or animal,1627458403,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889860,Illumina HiSeq 2000,FR135N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,FR135N,female,SRP077652,FR135N,Whole organism
SRR3734094,WGS,190,2143873360,PRJNA327349,SAMN05330477,Model organism or animal,1584961882,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889861,Illumina HiSeq 2000,FR147N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,FR147N,female,SRP077652,FR147N,Whole organism
SRR3734095,WGS,190,1846694930,PRJNA327349,SAMN05330478,Model organism or animal,1221149622,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889862,Illumina HiSeq 2000,FR152N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,FR152N,female,SRP077652,FR152N,Whole organism
SRR3734096,WGS,190,2065083780,PRJNA327349,SAMN05330479,Model organism or animal,1418707476,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889863,Illumina HiSeq 2000,FR153N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,FR153N,female,SRP077652,FR153N,Whole organism
SRR3734097,WGS,190,6593806740,PRJNA327349,SAMN05330363,Model organism or animal,4584540363,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889864,Illumina HiSeq 2000,EA70N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,EA70N,female,SRP077652,EA70N,Whole organism
SRR3734098,WGS,190,2868402640,PRJNA327349,SAMN05330480,Model organism or animal,2048769404,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889865,Illumina HiSeq 2000,FR157N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,FR157N,female,SRP077652,FR157N,Whole organism
SRR3734099,WGS,190,2200642130,PRJNA327349,SAMN05330481,Model organism or animal,1474435649,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889866,Illumina HiSeq 2000,FR158N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,FR158N,female,SRP077652,FR158N,Whole organism
SRR3734100,WGS,190,2241379080,PRJNA327349,SAMN05330482,Model organism or animal,1468672689,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889867,Illumina HiSeq 2000,FR161N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,FR161N,female,SRP077652,FR161N,Whole organism
SRR3734101,WGS,190,1758298570,PRJNA327349,SAMN05330483,Model organism or animal,1154563564,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889868,Illumina HiSeq 2000,FR162N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,FR162N,female,SRP077652,FR162N,Whole organism
SRR3734102,WGS,190,1637751170,PRJNA327349,SAMN05330484,Model organism or animal,1068248863,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889869,Illumina HiSeq 2000,FR164N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,FR164N,female,SRP077652,FR164N,Whole organism
SRR3734103,WGS,190,2171056850,PRJNA327349,SAMN05330485,Model organism or animal,1425538715,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889870,Illumina HiSeq 2000,FR169N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,FR169N,female,SRP077652,FR169N,Whole organism
SRR3734104,WGS,190,1852935670,PRJNA327349,SAMN05330486,Model organism or animal,1208951726,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889871,Illumina HiSeq 2000,FR16N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,FR16N,female,SRP077652,FR16N,Whole organism
SRR3734105,WGS,190,2314034510,PRJNA327349,SAMN05330487,Model organism or animal,1502870579,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889872,Illumina HiSeq 2000,FR173N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,FR173N,female,SRP077652,FR173N,Whole organism
SRR3734106,WGS,190,1697108310,PRJNA327349,SAMN05330488,Model organism or animal,1111901116,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889873,Illumina HiSeq 2000,FR186N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,FR186N,female,SRP077652,FR186N,Whole organism
SRR3734107,WGS,202,5538060280,PRJNA327349,SAMN05330489,Model organism or animal,3264256706,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889874,Illumina HiSeq 2000,FR198N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-06T00:00:00Z,FR198N,female,SRP077652,FR198N,Whole organism
SRR3734108,WGS,190,4245886680,PRJNA327349,SAMN05330364,Model organism or animal,2899649226,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889875,Illumina HiSeq 2000,EA84N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,EA84N,female,SRP077652,EA84N,Whole organism
SRR3734109,WGS,190,2127141390,PRJNA327349,SAMN05330490,Model organism or animal,1407083719,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889876,Illumina HiSeq 2000,FR188N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,FR188N,female,SRP077652,FR188N,Whole organism
SRR3734110,WGS,190,1621206160,PRJNA327349,SAMN05330491,Model organism or animal,1084249517,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889877,Illumina HiSeq 2000,FR19N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,FR19N,female,SRP077652,FR19N,Whole organism
SRR3734111,WGS,190,1825901330,PRJNA327349,SAMN05330492,Model organism or animal,1210895862,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889878,Illumina HiSeq 2000,FR200N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,FR200N,female,SRP077652,FR200N,Whole organism
SRR3734112,WGS,190,2781200620,PRJNA327349,SAMN05330493,Model organism or animal,1816228368,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889879,Illumina HiSeq 2000,FR208N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,FR208N,female,SRP077652,FR208N,Whole organism
SRR3734113,WGS,190,1956234680,PRJNA327349,SAMN05330494,Model organism or animal,1262617129,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889880,Illumina HiSeq 2000,FR213N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,FR213N,female,SRP077652,FR213N,Whole organism
SRR3734114,WGS,190,1720716570,PRJNA327349,SAMN05330495,Model organism or animal,1122958571,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889881,Illumina HiSeq 2000,FR216N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,FR216N,female,SRP077652,FR216N,Whole organism
SRR3734115,WGS,190,3142603800,PRJNA327349,SAMN05330496,Model organism or animal,2216228483,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889882,Illumina HiSeq 2000,FR219N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,FR219N,female,SRP077652,FR219N,Whole organism
SRR3734116,WGS,190,1817812080,PRJNA327349,SAMN05330497,Model organism or animal,1197249288,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889883,Illumina HiSeq 2000,FR21N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,FR21N,female,SRP077652,FR21N,Whole organism
SRR3734117,WGS,190,2141520020,PRJNA327349,SAMN05330498,Model organism or animal,1426904431,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889884,Illumina HiSeq 2000,FR222N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,FR222N,female,SRP077652,FR222N,Whole organism
SRR3734118,WGS,190,2174857610,PRJNA327349,SAMN05330499,Model organism or animal,1439816803,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889885,Illumina HiSeq 2000,FR225N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,FR225N,female,SRP077652,FR225N,Whole organism
SRR3734119,WGS,190,972633750,PRJNA327349,SAMN05330365,Model organism or animal,671114635,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889886,Illumina HiSeq 2000,EA86N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,EA86N,female,SRP077652,EA86N,Whole organism
SRR3734120,WGS,190,2095964100,PRJNA327349,SAMN05330500,Model organism or animal,1377394578,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889887,Illumina HiSeq 2000,FR230N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,FR230N,female,SRP077652,FR230N,Whole organism
SRR3734121,WGS,190,2202547640,PRJNA327349,SAMN05330501,Model organism or animal,1473830155,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889888,Illumina HiSeq 2000,FR231N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,FR231N,female,SRP077652,FR231N,Whole organism
SRR3734122,WGS,190,2147926440,PRJNA327349,SAMN05330502,Model organism or animal,1426611938,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889889,Illumina HiSeq 2000,FR232N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,FR232N,female,SRP077652,FR232N,Whole organism
SRR3734123,WGS,190,927245790,PRJNA327349,SAMN05330503,Model organism or animal,612719595,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889890,Illumina HiSeq 2000,FR235N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,FR235N,female,SRP077652,FR235N,Whole organism
SRR3734124,WGS,190,1619939810,PRJNA327349,SAMN05330504,Model organism or animal,1033489657,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889891,Illumina HiSeq 2000,FR236N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,FR236N,female,SRP077652,FR236N,Whole organism
SRR3734125,WGS,190,1547121930,PRJNA327349,SAMN05330505,Model organism or animal,982650855,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889892,Illumina HiSeq 2000,FR238N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,FR238N,female,SRP077652,FR238N,Whole organism
