"Stock.ID" "region" "SRA.Accession" "Data.Group" "Population" "Country" "Locality" "Date.of.Collection" "Collector.s." "Latitude..negative.south." "Longitude..negative.west." "Elevation..m." "Haploid.Embryo.Genomes" "Inbred.or.Isofemale.Genomes" "Chromosome.Extraction.Genomes" "Data.Reference"
"I35" "america" "SRX766114" "CLARK" "I" "United States" "Ithaca NY" "2004" "E. Hill-Burns & B. Lazzaro" 42.35 -76.57 344 0 19 0 "Grenier et al. 2015"
"I38" "america" "SRX766115" "CLARK" "I" "United States" "Ithaca NY" "2004" "E. Hill-Burns & B. Lazzaro" 42.35 -76.57 344 0 19 0 "Grenier et al. 2015"
"w26" "america" "SRX101700" "NUZHDIN" "W" "United States" "Winters CA" "1998" "H. Yang & S. Nuzhdin" 38.53 -121.97 41 0 35 0 "Campo et al. 2013"
"w34" "america" "SRX101703" "NUZHDIN" "W" "United States" "Winters CA" "1998" "H. Yang & S. Nuzhdin" 38.53 -121.97 41 0 35 0 "Campo et al. 2013"
"w35" "america" "SRX101704" "NUZHDIN" "W" "United States" "Winters CA" "1998" "H. Yang & S. Nuzhdin" 38.53 -121.97 41 0 35 0 "Campo et al. 2013"
"w36" "america" "SRX101706" "NUZHDIN" "W" "United States" "Winters CA" "1998" "H. Yang & S. Nuzhdin" 38.53 -121.97 41 0 35 0 "Campo et al. 2013"
"w37" "america" "SRX101708" "NUZHDIN" "W" "United States" "Winters CA" "1998" "H. Yang & S. Nuzhdin" 38.53 -121.97 41 0 35 0 "Campo et al. 2013"
"w38" "america" "SRX101710" "NUZHDIN" "W" "United States" "Winters CA" "1998" "H. Yang & S. Nuzhdin" 38.53 -121.97 41 0 35 0 "Campo et al. 2013"
"w40" "america" "SRX101712" "NUZHDIN" "W" "United States" "Winters CA" "1998" "H. Yang & S. Nuzhdin" 38.53 -121.97 41 0 35 0 "Campo et al. 2013"
"w49" "america" "SRX101718" "NUZHDIN" "W" "United States" "Winters CA" "1998" "H. Yang & S. Nuzhdin" 38.53 -121.97 41 0 35 0 "Campo et al. 2013"
"w50" "america" "SRX101720" "NUZHDIN" "W" "United States" "Winters CA" "1998" "H. Yang & S. Nuzhdin" 38.53 -121.97 41 0 35 0 "Campo et al. 2013"
"w52" "america" "SRX101722" "NUZHDIN" "W" "United States" "Winters CA" "1998" "H. Yang & S. Nuzhdin" 38.53 -121.97 41 0 35 0 "Campo et al. 2013"
"w54" "america" "SRX101724" "NUZHDIN" "W" "United States" "Winters CA" "1998" "H. Yang & S. Nuzhdin" 38.53 -121.97 41 0 35 0 "Campo et al. 2013"
"w59" "america" "SRX101730" "NUZHDIN" "W" "United States" "Winters CA" "1998" "H. Yang & S. Nuzhdin" 38.53 -121.97 41 0 35 0 "Campo et al. 2013"
"w63" "america" "SRX101735" "NUZHDIN" "W" "United States" "Winters CA" "1998" "H. Yang & S. Nuzhdin" 38.53 -121.97 41 0 35 0 "Campo et al. 2013"
"w66" "america" "SRX101738" "NUZHDIN" "W" "United States" "Winters CA" "1998" "H. Yang & S. Nuzhdin" 38.53 -121.97 41 0 35 0 "Campo et al. 2013"
"w67" "america" "SRX101740" "NUZHDIN" "W" "United States" "Winters CA" "1998" "H. Yang & S. Nuzhdin" 38.53 -121.97 41 0 35 0 "Campo et al. 2013"
"w68" "america" "SRX101742" "NUZHDIN" "W" "United States" "Winters CA" "1998" "H. Yang & S. Nuzhdin" 38.53 -121.97 41 0 35 0 "Campo et al. 2013"
"w69" "america" "SRX101744" "NUZHDIN" "W" "United States" "Winters CA" "1998" "H. Yang & S. Nuzhdin" 38.53 -121.97 41 0 35 0 "Campo et al. 2013"
"w74" "america" "SRX101749" "NUZHDIN" "W" "United States" "Winters CA" "1998" "H. Yang & S. Nuzhdin" 38.53 -121.97 41 0 35 0 "Campo et al. 2013"
"w76" "america" "SRX101751" "NUZHDIN" "W" "United States" "Winters CA" "1998" "H. Yang & S. Nuzhdin" 38.53 -121.97 41 0 35 0 "Campo et al. 2013"
"w79" "america" "SRX101753" "NUZHDIN" "W" "United States" "Winters CA" "1998" "H. Yang & S. Nuzhdin" 38.53 -121.97 41 0 35 0 "Campo et al. 2013"
"w80" "america" "SRX101755" "NUZHDIN" "W" "United States" "Winters CA" "1998" "H. Yang & S. Nuzhdin" 38.53 -121.97 41 0 35 0 "Campo et al. 2013"
"w84" "america" "SRX101759" "NUZHDIN" "W" "United States" "Winters CA" "1998" "H. Yang & S. Nuzhdin" 38.53 -121.97 41 0 35 0 "Campo et al. 2013"
"w86" "america" "SRX101760" "NUZHDIN" "W" "United States" "Winters CA" "1998" "H. Yang & S. Nuzhdin" 38.53 -121.97 41 0 35 0 "Campo et al. 2013"
"w87" "america" "SRX101761" "NUZHDIN" "W" "United States" "Winters CA" "1998" "H. Yang & S. Nuzhdin" 38.53 -121.97 41 0 35 0 "Campo et al. 2013"
"w114" "america" "SRX101762" "NUZHDIN" "W" "United States" "Winters CA" "1998" "H. Yang & S. Nuzhdin" 38.53 -121.97 41 0 35 0 "Campo et al. 2013"
"RAL-309" "america" "SRX021060" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-310" "america" "SRX021080" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-317" "america" "SRX021081" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-318" "america" "SRX021082" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-319" "america" "SRX155981" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-31" "america" "SRX155996" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-320" "america" "SRX021063" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-321" "america" "SRX021094" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-32" "america" "SRX155997" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-338" "america" "SRX021097" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-348" "america" "SRX156029" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-352" "america" "SRX021101" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-354" "america" "SRX156027" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-385" "america" "SRX159098" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-390" "america" "SRX156014" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-392" "america" "SRX021157" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-395" "america" "SRX156015" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-397" "america" "SRX156017" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-189" "america" "SRX155979" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-195" "america" "SRX021039" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-217" "america" "SRX021041" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-21" "america" "SRX021040" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-223" "america" "SRX155994" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-227" "america" "SRX021042" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-228" "america" "SRX021043" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-233" "america" "SRX021061" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-235" "america" "SRX021053" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-239" "america" "SRX021054" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-256" "america" "SRX021055" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-280" "america" "SRX021058" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-287" "america" "SRX021059" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-101" "america" "SRX020747" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-105" "america" "SRX020745" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-370" "america" "SRX021104" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-129" "america" "SRX020748" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-38" "america" "SRX025317" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-136" "america" "SRX020753" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-377" "america" "SRX023834" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-367" "america" "SRX021103" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-359" "america" "SRX023424" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-177" "america" "SRX021026" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-161" "america" "SRX020761" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-158" "america" "SRX021009" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-149" "america" "SRX020760" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-142" "america" "SRX020759" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-382" "america" "SRX156013" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-361" "america" "SRX155984" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-383" "america" "SRX021113" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-405" "america" "SRX021242" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-406" "america" "SRX021254" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-40" "america" "SRX021235" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-426" "america" "SRX021245" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-42" "america" "SRX021255" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-439" "america" "SRX021244" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-440" "america" "SRX021246" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-441" "america" "SRX023835" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-443" "america" "SRX021260" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-45" "america" "SRX021261" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-461" "america" "SRX021262" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-48" "america" "SRX155989" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-491" "america" "SRX021268" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-492" "america" "SRX021270" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-49" "america" "SRX021267" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-502" "america" "SRX021271" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-505" "america" "SRX156002" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-508" "america" "SRX021272" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-509" "america" "SRX021273" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-513" "america" "SRX021282" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-528" "america" "SRX155985" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-530" "america" "SRX156031" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-531" "america" "SRX021290" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-551" "america" "SRX156034" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-559" "america" "SRX156032" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-563" "america" "SRX023836" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-566" "america" "SRX156033" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-810" "america" "SRX021418" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-812" "america" "SRX021419" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-818" "america" "SRX021478" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-822" "america" "SRX021476" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
