Run,Alias,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Description,ENA_CHECKLIST,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sample_name,sex,SRA_accession,SRA Study,tissue_type,title,culture_collection
ERR705974,GA08,WGS,180,6626841480,PRJEB8027,SAMEA3176934,4846486641,UOM,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1","Whole genome shotgun sequences of DNA extracted from 25 females from an isofemale line collected in Athens\, Georgia (2009)",ERC000011,2014-12-17,2018-11-16,ERX650232,UOM,University of Manchester,2014-12-17T17:02:22Z,2014-12-17T14:26:44Z,public,Illumina HiSeq 2000,GA08,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-01-29T00:00:00Z,SAMEA3176934,ERS629866,female,ERS629866,ERP009059,Whole organism,Haddrill Georgia 08,DSSC:14021-0231.195
ERR705975,GA08,WGS,180,563859180,PRJEB8027,SAMEA3176934,413178549,UOM,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1","Whole genome shotgun sequences of DNA extracted from 25 females from an isofemale line collected in Athens\, Georgia (2009)",ERC000011,2014-12-17,2018-11-16,ERX650232,UOM,University of Manchester,2014-12-17T17:02:22Z,2014-12-17T14:26:44Z,public,Illumina HiSeq 2000,GA08,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-01-29T00:00:00Z,SAMEA3176934,ERS629866,female,ERS629866,ERP009059,Whole organism,Haddrill Georgia 08,DSSC:14021-0231.195
ERR705976,GA09,WGS,180,7693035300,PRJEB8027,SAMEA3176935,5615836889,UOM,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1","Whole genome shotgun sequences of DNA extracted from 25 females from an isofemale line collected in Athens\, Georgia (2009)",ERC000011,2014-12-17,2018-11-16,ERX650234,UOM,University of Manchester,2014-12-17T17:02:23Z,2014-12-17T14:26:44Z,public,Illumina HiSeq 2000,GA09,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-01-29T00:00:00Z,SAMEA3176935,ERS629867,female,ERS629867,ERP009059,Whole organism,Haddrill Georgia 09,DSSC:14021-0231.193
ERR705977,GA10,WGS,180,7648221780,PRJEB8027,SAMEA3176936,5591655447,UOM,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1","Whole genome shotgun sequences of DNA extracted from 25 females from an isofemale line collected in Athens\, Georgia (2009)",ERC000011,2014-12-17,2018-11-16,ERX650235,UOM,University of Manchester,2014-12-17T17:02:23Z,2014-12-17T14:26:44Z,public,Illumina HiSeq 2000,GA10,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-01-29T00:00:00Z,SAMEA3176936,ERS629868,female,ERS629868,ERP009059,Whole organism,Haddrill Georgia 10,DSSC:14021-0231.188
ERR705978,GA11,WGS,180,7723995840,PRJEB8027,SAMEA3176937,5745278170,UOM,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1","Whole genome shotgun sequences of DNA extracted from 25 females from an isofemale line collected in Athens\, Georgia (2009)",ERC000011,2014-12-17,2018-11-16,ERX650236,UOM,University of Manchester,2014-12-17T17:02:23Z,2014-12-17T14:26:44Z,public,Illumina HiSeq 2000,GA11,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-01-29T00:00:00Z,SAMEA3176937,ERS629869,female,ERS629869,ERP009059,Whole organism,Haddrill Georgia 11,DSSC:14021-0231.186
ERR705979,GA12,WGS,180,7476089400,PRJEB8027,SAMEA3176938,5581753374,UOM,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1","Whole genome shotgun sequences of DNA extracted from 25 females from an isofemale line collected in Athens\, Georgia (2009)",ERC000011,2014-12-17,2018-11-16,ERX650237,UOM,University of Manchester,2014-12-17T17:02:23Z,2014-12-17T14:26:44Z,public,Illumina HiSeq 2000,GA12,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-01-29T00:00:00Z,SAMEA3176938,ERS629870,female,ERS629870,ERP009059,Whole organism,Haddrill Georgia 12,DSSC:14021-0231.187
ERR705980,GA13,WGS,180,7801031520,PRJEB8027,SAMEA3176939,5742286773,UOM,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1","Whole genome shotgun sequences of DNA extracted from 25 females from an isofemale line collected in Athens\, Georgia (2009)",ERC000011,2014-12-17,2018-11-16,ERX650238,UOM,University of Manchester,2014-12-17T17:02:23Z,2014-12-17T14:26:44Z,public,Illumina HiSeq 2000,GA13,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-01-29T00:00:00Z,SAMEA3176939,ERS629871,female,ERS629871,ERP009059,Whole organism,Haddrill Georgia 13,DSSC:14021-0231.185
ERR705981,GA15,WGS,180,7774502040,PRJEB8027,SAMEA3176940,5745280423,UOM,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1","Whole genome shotgun sequences of DNA extracted from 25 females from an isofemale line collected in Athens\, Georgia (2009)",ERC000011,2014-12-17,2018-11-16,ERX650239,UOM,University of Manchester,2014-12-17T17:02:23Z,2014-12-17T14:26:44Z,public,Illumina HiSeq 2000,GA15,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-01-29T00:00:00Z,SAMEA3176940,ERS629872,female,ERS629872,ERP009059,Whole organism,Haddrill Georgia 15,DSSC:14021-0231.189
ERR705982,GA17,WGS,180,7807580280,PRJEB8027,SAMEA3176941,5746312315,UOM,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1","Whole genome shotgun sequences of DNA extracted from 25 females from an isofemale line collected in Athens\, Georgia (2009)",ERC000011,2014-12-17,2018-11-16,ERX650240,UOM,University of Manchester,2014-12-17T17:02:23Z,2014-12-17T14:26:44Z,public,Illumina HiSeq 2000,GA17,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-01-29T00:00:00Z,SAMEA3176941,ERS629873,female,ERS629873,ERP009059,Whole organism,Haddrill Georgia 17,DSSC:14021-0231.190
ERR705983,GApool15,WGS,180,3990419280,PRJEB8027,SAMEA3176942,2831632138,UOM,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1","Whole genome shotgun sequences of DNA extracted from 1 female each from 15 isofemale lines collected in Athens\, Georgia (2009)",ERC000011,2014-12-17,2018-11-16,ERX650241,UOM,University of Manchester,2014-12-17T17:02:23Z,2014-12-17T14:26:44Z,public,Illumina HiSeq 2000,GApool15,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-01-29T00:00:00Z,SAMEA3176942,ERS629874,female,ERS629874,ERP009059,Whole organism,Haddrill Georgia pool15,
