DGRP,Replica,Wasp_Strain,Flies,Capsules,Non_Capsules,Encapsulation_Ratio,Infection_Ratio,Obs,Set,Block,Infection,Assay,Researcher_ID
177,2,G486,0,0,40,0,1,,2,1,,,Alex
208,1,G486,4,1,35,0.027777778,0.9,,2,1,,,Alex
208,2,G486,1,0,39,0,0.975,,2,1,,,Alex
208,3,G486,0,0,40,0,1,,2,1,,,Alex
237,1,G486,1,0,39,0,0.975,,2,1,,,Alex
237,2,G486,0,0,40,0,1,,2,1,,,Alex
237,3,G486,0,1,39,0.025,1,,2,1,,,Alex
313,1,G486,0,0,40,0,1,,2,1,,,Alex
313,2,G486,1,0,39,0,0.975,,2,1,,,Alex
350,1,G486,1,0,39,0,0.975,,2,1,,,Alex
352,1,G486,2,0,38,0,0.95,,2,1,,,Alex
352,2,G486,0,1,39,0.025,1,,2,1,,,Alex
352,3,G486,0,3,37,0.075,1,,2,1,,,Alex
356,1,G486,3,1,36,0.027027027,0.925,,2,1,,,Alex
427,1,G486,0,0,40,0,1,,2,1,,,Alex
427,2,G486,0,0,40,0,1,,2,1,,,Alex
427,3,G486,0,0,40,0,1,,2,1,,,Alex
737,1,G486,2,2,36,0.052631579,0.95,,2,1,,,Alex
737,2,G486,1,1,38,0.025641026,0.975,,2,1,,,Alex
737,3,G486,0,1,39,0.025,1,,2,1,,,Alex
748,1,G486,0,6,34,0.15,1,,2,1,,,Alex
748,2,G486,0,2,38,0.05,1,,2,1,,,Alex
748,3,G486,0,2,38,0.05,1,,2,1,,,Alex
819,1,G486,0,1,39,0.025,1,,2,1,,,Alex
819,2,G486,0,7,33,0.175,1,,2,1,,,Alex
819,3,G486,0,1,39,0.025,1,,2,1,,,Alex
821,1,G486,1,1,38,0.025641026,0.975,,2,1,,,Alex
821,2,G486,0,0,40,0,1,,2,1,,,Alex
821,3,G486,0,0,40,0,1,,2,1,,,Alex
913,1,G486,3,6,31,0.162162162,0.925,,2,1,,,Alex
913,2,G486,0,1,39,0.025,1,,2,1,,,Alex
913,3,G486,1,10,29,0.256410256,0.975,,2,1,,,Alex
101,1,G486,2,1,37,0.026315789,0.95,,3,1,,,Alex
101,2,G486,1,3,36,0.076923077,0.975,,3,1,,,Alex
101,3,G486,2,4,34,0.105263158,0.95,,3,1,,,Alex
129,1,G486,1,0,39,0,0.975,,3,1,,,Alex
129,2,G486,2,0,38,0,0.95,,3,1,,,Alex
129,3,G486,1,6,33,0.153846154,0.975,,3,1,,,Alex
306,1,G486,1,11,28,0.282051282,0.975,,3,1,,,Alex
306,2,G486,0,6,34,0.15,1,,3,1,,,Alex
306,3,G486,0,4,36,0.1,1,,3,1,,,Alex
373,1,G486,1,0,39,0,0.975,,3,1,,,Alex
373,2,G486,1,0,39,0,0.975,,3,1,,,Alex
373,3,G486,3,0,37,0,0.925,,3,1,,,Alex
379,1,G486,2,6,32,0.157894737,0.95,,3,1,,,Alex
379,2,G486,0,1,39,0.025,1,,3,1,,,Alex
379,3,G486,2,11,27,0.289473684,0.95,,3,1,,,Alex
391,1,G486,0,20,20,0.5,1,,3,1,,,Alex
391,2,G486,0,14,26,0.35,1,,3,1,,,Alex
391,3,G486,0,13,27,0.325,1,,3,1,,,Alex
399,1,G486,0,1,39,0.025,1,,3,1,,,Alex
399,2,G486,2,4,34,0.105263158,0.95,,3,1,,,Alex
399,3,G486,4,1,35,0.027777778,0.9,,3,1,,,Alex
486,1,G486,3,3,34,0.081081081,0.925,,3,1,,,Alex
486,2,G486,6,7,27,0.205882353,0.85,,3,1,,,Alex
584,1,G486,2,13,25,0.342105263,0.95,,3,1,,,Alex
584,2,G486,0,4,36,0.1,1,,3,1,,,Alex
584,3,G486,0,3,37,0.075,1,,3,1,,,Alex
738,1,G486,8,5,27,0.15625,0.8,,3,1,,,Alex
738,2,G486,0,0,40,0,1,,3,1,,,Alex
738,3,G486,0,0,40,0,1,,3,1,,,Alex
843,1,G486,1,1,38,0.025641026,0.975,,3,1,,,Alex
843,2,G486,4,9,27,0.25,0.9,,3,1,,,Alex
843,3,G486,1,4,35,0.102564103,0.975,,3,1,,,Alex
882,1,G486,1,1,38,0.025641026,0.975,,3,1,,,Alex
882,2,G486,0,1,39,0.025,1,,3,1,,,Alex
882,3,G486,7,1,32,0.03030303,0.825,,3,1,,,Alex
907,1,G486,0,1,39,0.025,1,,3,1,,,Alex
907,2,G486,0,0,40,0,1,,3,1,,,Alex
907,3,G486,1,10,29,0.256410256,0.975,,3,1,,,Alex
908,1,G486,0,6,34,0.15,1,,3,1,,,Alex
908,2,G486,0,3,37,0.075,1,,3,1,,,Alex
908,3,G486,0,4,36,0.1,1,,3,1,,,Alex
26,1,G486,0,0,40,0,1,,4,1,,,Rachael
26,2,G486,0,0,40,0,1,,4,1,,,Rebecca
32,1,G486,1,0,39,0,0.975,,4,1,,,Rebecca
32,2,G486,8,5,27,0.15625,0.8,,4,1,,,Rachael
32,3,G486,0,0,40,0,1,,4,1,,,Rachael
307,1,G486,0,0,40,0,1,,4,1,,,Rebecca
307,2,G486,0,1,39,0.025,1,,4,1,,,Rachael
307,3,G486,0,0,40,0,1,,4,1,,,Rebecca
321,1,G486,5,7,28,0.2,0.875,,4,1,,,Rachael
321,2,G486,2,1,37,0.026315789,0.95,,4,1,,,Rachael
321,3,G486,5,1,34,0.028571429,0.875,,4,1,,,Rebecca
405,1,G486,1,1,38,0.025641026,0.975,,4,1,,,Rachael
405,2,G486,5,1,34,0.028571429,0.875,,4,1,,,Rachael
405,3,G486,2,1,37,0.026315789,0.95,,4,1,,,Rebecca
491,1,G486,1,9,30,0.230769231,0.975,,4,1,,,Rebecca
491,2,G486,0,8,32,0.2,1,,4,1,,,Rachael
627,1,G486,2,0,38,0,0.95,,4,1,,,Rachael
627,2,G486,2,0,38,0,0.95,,4,1,,,Rebecca
627,3,G486,7,6,27,0.181818182,0.825,,4,1,,,Rachael
776,1,G486,3,0,37,0,0.925,,4,1,,,Rebecca
776,2,G486,3,6,31,0.162162162,0.925,,4,1,,,Rachael
776,3,G486,0,1,39,0.025,1,,4,1,,,Rachael
802,1,G486,0,0,40,0,1,,4,1,,,Rebecca
802,2,G486,6,5,29,0.147058824,0.85,,4,1,,,Rebecca
802,3,G486,0,2,38,0.05,1,,4,1,,,Rachael
849,1,G486,2,8,30,0.210526316,0.95,,4,1,,,Rebecca
849,2,G486,0,13,27,0.325,1,,4,1,,,Rachael
849,3,G486,0,6,34,0.15,1,,4,1,,,Rebecca
850,1,G486,7,8,25,0.242424242,0.825,,4,1,,,Rebecca
850,2,G486,4,5,31,0.138888889,0.9,,4,1,,,Rebecca
850,3,G486,0,3,37,0.075,1,,4,1,,,Rachael
857,1,G486,1,2,37,0.051282051,0.975,,4,1,,,Rachael
857,2,G486,1,0,39,0,0.975,,4,1,,,Rebecca
21,1,G486,0,6,34,0.15,1,,5,1,,,Rebecca
21,2,G486,0,4,36,0.1,1,,5,1,,,Rachael
21,3,G486,0,7,33,0.175,1,,5,1,,,Rachael
195,1,G486,19,3,18,0.142857143,0.525,,5,1,,,Rachael
195,2,G486,1,0,39,0,0.975,,5,1,,,Rebecca
195,3,G486,0,1,39,0.025,1,,5,1,,,Rebecca
235,1,G486,2,6,32,0.157894737,0.95,,5,1,,,Rachael
235,2,G486,6,11,23,0.323529412,0.85,,5,1,,,Rachael
235,3,G486,10,5,25,0.166666667,0.75,,5,1,,,Rebecca
320,1,G486,1,1,38,0.025641026,0.975,,5,1,,,Rebecca
320,2,G486,0,6,34,0.15,1,,5,1,,,Rachael
320,3,G486,3,5,32,0.135135135,0.925,,5,1,,,Rebecca
355,1,G486,0,3,37,0.075,1,,5,1,,,Rebecca
355,2,G486,1,2,37,0.051282051,0.975,,5,1,,,Rachael
359,1,G486,3,0,37,0,0.925,,5,1,,,Rebecca
359,2,G486,6,4,30,0.117647059,0.85,,5,1,,,Rebecca
359,3,G486,1,0,39,0,0.975,,5,1,,,Rachael
392,1,G486,2,0,38,0,0.95,,5,1,,,Rebecca
437,1,G486,0,15,25,0.375,1,,5,1,,,Rachael
437,2,G486,0,11,29,0.275,1,,5,1,,,Rebecca
437,3,G486,1,16,23,0.41025641,0.975,,5,1,,,Rachael
439,1,G486,0,0,40,0,1,,5,1,,,Rebecca
439,3,G486,4,0,36,0,0.9,,5,1,,,Rebecca
509,1,G486,1,0,39,0,0.975,,5,1,,,Rebecca
509,2,G486,5,9,26,0.257142857,0.875,,5,1,,,Rachael
509,3,G486,1,0,39,0,0.975,,5,1,,,Rebecca
528,1,G486,2,9,29,0.236842105,0.95,,5,1,,,Rachael
528,2,G486,3,7,30,0.189189189,0.925,,5,1,,,Rebecca
528,3,G486,2,5,33,0.131578947,0.95,,5,1,,,Rachael
551,1,G486,9,10,21,0.322580645,0.775,,5,1,,,Rachael
551,2,G486,2,5,33,0.131578947,0.95,,5,1,,,Rachael
551,3,G486,3,0,37,0,0.925,,5,1,,,Rebecca
630,1,G486,1,2,37,0.051282051,0.975,,5,1,,,Rebecca
630,2,G486,3,12,25,0.324324324,0.925,,5,1,,,Rachael
630,3,G486,0,0,40,0,1,,5,1,,,Rachael
787,1,G486,11,7,22,0.24137931,0.725,,5,1,,,Rebecca
787,2,G486,0,0,40,0,1,,5,1,,,Rachael
787,3,G486,0,0,40,0,1,,5,1,,,Rebecca
31,1,G486,0,17,23,0.425,1,,6,1,,,Sherifat
31,2,G486,1,11,28,0.282051282,0.975,,6,1,,,Sherifat
31,3,G486,0,1,39,0.025,1,,6,1,,,Rachael
59,1,G486,1,2,37,0.051282051,0.975,,6,1,,,Rachael
59,2,G486,3,7,30,0.189189189,0.925,,6,1,,,Sherifat
59,3,G486,1,3,36,0.076923077,0.975,,6,1,,,Sherifat
301,1,G486,1,3,36,0.076923077,0.975,,6,1,,,Rachael
301,2,G486,0,7,33,0.175,1,,6,1,,,Sherifat
362,1,G486,0,3,37,0.075,1,,6,1,,,Sherifat
362,2,G486,0,0,40,0,1,,6,1,,,Sherifat
362,3,G486,0,3,37,0.075,1,,6,1,,,Rachael
370,1,G486,2,0,38,0,0.95,,6,1,,,Rachael
370,2,G486,1,1,38,0.025641026,0.975,,6,1,,,Sherifat
370,3,G486,3,0,37,0,0.925,,6,1,,,Rachael
535,1,G486,3,3,34,0.081081081,0.925,,6,1,,,Rachael
535,2,G486,0,0,40,0,1,,6,1,,,Rachael
535,3,G486,0,8,32,0.2,1,,6,1,,,Sherifat
716,1,G486,1,0,39,0,0.975,,6,1,,,Sherifat
716,2,G486,1,2,37,0.051282051,0.975,,6,1,,,Rachael
716,3,G486,6,6,28,0.176470588,0.85,,6,1,,,Rachael
822,1,G486,2,4,34,0.105263158,0.95,,6,1,,,Sherifat
822,2,G486,2,6,32,0.157894737,0.95,,6,1,,,Sherifat
822,3,G486,4,3,33,0.083333333,0.9,,6,1,,,Rachael
852,1,G486,0,0,40,0,1,,6,1,,,Rachael
852,2,G486,0,1,39,0.025,1,,6,1,,,Sherifat
855,1,G486,0,1,39,0.025,1,,6,1,,,Rachael
855,2,G486,0,1,39,0.025,1,,6,1,,,Sherifat
855,3,G486,1,1,38,0.025641026,0.975,,6,1,,,Rachael
859,1,G486,0,5,35,0.125,1,,6,1,,,Rachael
859,2,G486,3,7,30,0.189189189,0.925,,6,1,,,Sherifat
859,3,G486,6,7,27,0.205882353,0.85,,6,1,,,Rachael
38,1,G486,2,0,38,0,0.95,,7,1,,,Alex
38,2,G486,3,0,37,0,0.925,,7,1,,,Alex
38,3,G486,6,0,34,0,0.85,,7,1,,,Alex
109,1,G486,0,0,40,0,1,,7,1,,,Alex
109,2,G486,0,0,40,0,1,,7,1,,,Rebecca
109,3,G486,0,0,40,0,1,,7,1,,,Alex
189,1,G486,0,0,40,0,1,,7,1,,,Rebecca
189,2,G486,0,1,39,0.025,1,,7,1,,,Rebecca
189,3,G486,2,0,38,0,0.95,,7,1,,,Alex
239,1,G486,2,0,38,0,0.95,,7,1,,,Rebecca
239,2,G486,1,0,39,0,0.975,,7,1,,,Alex
239,3,G486,4,0,36,0,0.9,,7,1,,,Alex
280,1,G486,1,9,30,0.230769231,0.975,,7,1,,,Rebecca
280,2,G486,0,0,40,0,1,,7,1,,,Rebecca
280,3,G486,2,6,32,0.157894737,0.95,,7,1,,,Rebecca
361,1,G486,0,2,38,0.05,1,,7,1,,,Rebecca
361,2,G486,6,0,34,0,0.85,,7,1,,,Alex
361,3,G486,2,1,37,0.026315789,0.95,,7,1,,,Rebecca
406,1,G486,2,0,38,0,0.95,,7,1,,,Rebecca
406,2,G486,2,2,36,0.052631579,0.95,,7,1,,,Rebecca
406,3,G486,17,0,23,0,0.575,,7,1,,,Rebecca
440,1,G486,1,1,38,0.025641026,0.975,,7,1,,,Alex
440,2,G486,1,4,35,0.102564103,0.975,,7,1,,,Alex
440,3,G486,0,2,38,0.05,1,,7,1,,,Rebecca
589,1,G486,20,19,1,0.95,0.5,,7,1,,,Alex
589,2,G486,2,10,28,0.263157895,0.95,,7,1,,,Rebecca
589,3,G486,0,16,24,0.4,1,,7,1,,,Alex
595,1,G486,0,1,39,0.025,1,,7,1,,,Rebecca
595,2,G486,1,0,39,0,0.975,,7,1,,,Alex
595,3,G486,7,0,33,0,0.825,,7,1,,,Alex
808,1,G486,11,4,25,0.137931034,0.725,,7,1,,,Rebecca
808,2,G486,12,3,25,0.107142857,0.7,,7,1,,,Alex
808,3,G486,17,0,23,0,0.575,,7,1,,,Rebecca
818,1,G486,7,4,29,0.121212121,0.825,,7,1,,,Rebecca
818,2,G486,5,4,31,0.114285714,0.875,,7,1,,,Alex
818,3,G486,1,0,39,0,0.975,,7,1,,,Alex
853,1,G486,3,2,35,0.054054054,0.925,,7,1,,,Alex
853,2,G486,1,1,38,0.025641026,0.975,,7,1,,,Alex
853,3,G486,3,3,34,0.081081081,0.925,,7,1,,,Alex
894,1,G486,4,0,36,0,0.9,,7,1,,,Alex
894,2,G486,5,2,33,0.057142857,0.875,,7,1,,,Rebecca
894,3,G486,0,2,38,0.05,1,,7,1,,,Rebecca
897,1,G486,3,20,17,0.540540541,0.925,,7,1,,,Rebecca
897,2,G486,3,25,12,0.675675676,0.925,,7,1,,,Alex
897,3,G486,0,16,24,0.4,1,,7,1,,,Rebecca
91,1,G486,1,2,37,0.051282051,0.975,,8,1,,,Alex
91,2,G486,10,4,26,0.133333333,0.75,,8,1,,,Rebecca
91,3,G486,3,1,36,0.027027027,0.925,,8,1,,,Alex
181,1,G486,0,0,40,0,1,,8,1,,,Rebecca
181,2,G486,1,1,38,0.025641026,0.975,,8,1,,,Rebecca
181,3,G486,0,2,38,0.05,1,,8,1,,,Rebecca
303,1,G486,0,1,39,0.025,1,,8,1,,,Alex
303,2,G486,0,1,39,0.025,1,,8,1,,,Alex
303,3,G486,0,4,36,0.1,1,,8,1,,,Rebecca
304,1,G486,4,0,36,0,0.9,,8,1,,,Alex
304,2,G486,14,0,26,0,0.65,,8,1,,,Alex
304,3,G486,3,1,36,0.027027027,0.925,,8,1,,,Alex
317,1,G486,0,10,30,0.25,1,,8,1,,,Alex
317,2,G486,1,4,35,0.102564103,0.975,,8,1,,,Alex
317,3,G486,1,16,23,0.41025641,0.975,,8,1,,,Alex
335,1,G486,1,11,28,0.282051282,0.975,,8,1,,,Rebecca
382,1,G486,0,0,40,0,1,,8,1,,,Rebecca
382,2,G486,3,3,34,0.081081081,0.925,,8,1,,,Alex
530,1,G486,1,12,27,0.307692308,0.975,,8,1,,,Rebecca
530,2,G486,0,11,29,0.275,1,,8,1,,,Rebecca
530,3,G486,0,12,28,0.3,1,,8,1,,,Rebecca
705,1,G486,2,2,36,0.052631579,0.95,,8,1,,,Rebecca
705,2,G486,1,1,38,0.025641026,0.975,,8,1,,,Alex
783,1,G486,0,1,39,0.025,1,,8,1,,,Rebecca
783,2,G486,0,8,32,0.2,1,,8,1,,,Rebecca
783,3,G486,0,1,39,0.025,1,,8,1,,,Alex
804,1,G486,1,1,38,0.025641026,0.975,,8,1,,,Alex
804,2,G486,4,2,34,0.055555556,0.9,,8,1,,,Alex
804,3,G486,8,1,31,0.03125,0.8,,8,1,,,Rebecca
879,1,G486,3,3,34,0.081081081,0.925,,8,1,,,Alex
879,2,G486,0,0,40,0,1,,8,1,,,Rebecca
879,3,G486,3,1,36,0.027027027,0.925,,8,1,,,Rebecca
892,1,G486,0,1,39,0.025,1,,8,1,,,Rebecca
892,2,G486,0,0,40,0,1,,8,1,,,Rebecca
892,3,G486,0,2,38,0.05,1,,8,1,,,Alex
28,1,G486,4,2,34,0.055555556,0.9,,9,1,,,Sherifat
217,1,G486,2,0,38,0,0.95,,9,1,,,Rebecca
217,2,G486,1,0,39,0,0.975,,9,1,,,Rebecca
217,3,G486,0,3,37,0.075,1,,9,1,,,Sherifat
360,1,G486,2,0,38,0,0.95,,9,1,,,Sherifat
360,2,G486,10,0,30,0,0.75,,9,1,,,Rebecca
360,3,G486,2,0,38,0,0.95,,9,1,,,Sherifat
380,1,G486,11,10,19,0.344827586,0.725,,9,1,,,Sherifat
380,2,G486,0,0,40,0,1,,9,1,,,Sherifat
380,3,G486,0,1,39,0.025,1,,9,1,,,Sherifat
381,1,G486,0,0,40,0,1,,9,1,,,Sherifat
381,2,G486,2,0,38,0,0.95,,9,1,,,Rebecca
385,1,G486,3,14,23,0.378378378,0.925,,9,1,,,Rebecca
385,2,G486,1,2,37,0.051282051,0.975,,9,1,,,Sherifat
385,3,G486,0,1,39,0.025,1,,9,1,,,Rebecca
390,1,G486,2,0,38,0,0.95,,9,1,,,Rebecca
390,2,G486,2,6,32,0.157894737,0.95,,9,1,,,Sherifat
390,3,G486,1,0,39,0,0.975,,9,1,,,Rebecca
395,1,G486,6,2,32,0.058823529,0.85,,9,1,,,Sherifat
395,2,G486,2,0,38,0,0.95,,9,1,,,Sherifat
395,3,G486,1,0,39,0,0.975,,9,1,,,Rebecca
409,1,G486,1,1,38,0.025641026,0.975,,9,1,,,Rebecca
409,2,G486,3,2,35,0.054054054,0.925,,9,1,,,Sherifat
861,1,G486,0,0,40,0,1,,9,1,,,Rebecca
861,2,G486,4,6,30,0.166666667,0.9,,9,1,,,Rebecca
861,3,G486,0,2,38,0.05,1,,9,1,,,Rebecca
45,1,G486,7,4,29,0.121212121,0.825,,10,1,,,Rebecca
45,2,G486,0,1,39,0.025,1,,10,1,,,Sherifat
45,3,G486,0,0,40,0,1,,10,1,,,Rebecca
176,1,G486,0,9,31,0.225,1,Rebecca has the same sample,10,1,,,Sherifat
176,2,G486,0,0,40,0,1,,10,1,,,Sherifat
176,3,G486,0,3,37,0.075,1,,10,1,,,Sherifat
319,1,G486,2,0,38,0,0.95,,10,1,,,Rebecca
319,2,G486,0,1,39,0.025,1,,10,1,,,Sherifat
319,3,G486,0,1,39,0.025,1,,10,1,,,Sherifat
375,1,G486,0,5,35,0.125,1,,10,1,,,Rebecca
397,1,G486,2,7,31,0.184210526,0.95,,10,1,,,Sherifat
397,2,G486,0,3,37,0.075,1,,10,1,,,Sherifat
508,1,G486,1,3,36,0.076923077,0.975,,10,1,,,Rebecca
508,2,G486,0,1,39,0.025,1,,10,1,,,Rebecca
508,3,G486,0,0,40,0,1,,10,1,,,Sherifat
517,1,G486,1,12,27,0.307692308,0.975,,10,1,,,Sherifat
517,2,G486,5,5,30,0.142857143,0.875,,10,1,,,Sherifat
517,3,G486,0,0,40,0,1,,10,1,,,Rebecca
721,1,G486,0,9,31,0.225,1,,10,1,,,Sherifat
820,1,G486,5,4,31,0.114285714,0.875,,10,1,,,Sherifat
900,1,G486,0,1,39,0.025,1,,10,1,,,Sherifat
900,2,G486,0,0,40,0,1,,10,1,,,Rebecca
900,3,G486,0,0,40,0,1,,10,1,,,Rebecca
911,1,G486,0,7,33,0.175,1,,10,1,,,Sherifat
911,2,G486,0,2,38,0.05,1,,10,1,,,Rebecca
911,3,G486,0,0,40,0,1,,10,1,,,Rebecca
57,1,G486,0,1,39,0.025,1,,11,1,,,Rebecca
57,2,G486,2,2,36,0.052631579,0.95,,11,1,,,Rebecca
57,3,G486,0,0,40,0,1,,11,1,,,Rebecca
105,1,G486,1,3,36,0.076923077,0.975,,11,1,,,Rebecca
105,2,G486,3,13,24,0.351351351,0.925,,11,1,,,Rebecca
105,3,G486,0,1,39,0.025,1,,11,1,,,Rebecca
138,1,G486,0,0,40,0,1,,11,1,,,Alex
153,1,G486,0,0,40,0,1,,11,1,,,Alex
153,2,G486,1,2,37,0.051282051,0.975,,11,1,,,Alex
153,3,G486,0,1,39,0.025,1,,11,1,,,Rebecca
287,1,G486,2,12,26,0.315789474,0.95,,11,1,,,Rebecca
287,2,G486,1,11,28,0.282051282,0.975,Check between Rachael and Rebecca,11,1,,,Rachael
287,3,G486,0,17,23,0.425,1,,11,1,,,Rachael
367,1,G486,0,1,39,0.025,1,,11,1,,,Rebecca
367,2,G486,0,2,38,0.05,1,,11,1,,,Rebecca
367,3,G486,0,2,38,0.05,1,,11,1,,,Rebecca
426,1,G486,1,0,39,0,0.975,,11,1,,,Rachael
426,2,G486,0,2,38,0.05,1,,11,1,,,Rebecca
426,3,G486,0,4,36,0.1,1,,11,1,,,Alex
513,1,G486,0,0,40,0,1,,11,1,,,Alex
513,2,G486,3,2,35,0.054054054,0.925,,11,1,,,Rachael
513,3,G486,0,0,40,0,1,,11,1,,,Rachael
555,1,G486,1,2,37,0.051282051,0.975,,11,1,,,Rebecca
555,2,G486,1,2,37,0.051282051,0.975,,11,1,,,Rebecca
555,3,G486,1,1,38,0.025641026,0.975,,11,1,,,Rebecca
566,1,G486,4,26,10,0.722222222,0.9,,11,1,,,Rachael
566,2,G486,1,22,17,0.564102564,0.975,,11,1,,,Rachael
566,3,G486,1,21,18,0.538461538,0.975,,11,1,,,Rachael
707,1,G486,0,0,40,0,1,,11,1,,,Alex
790,1,G486,1,1,38,0.025641026,0.975,,11,1,,,Rachael
790,2,G486,0,1,39,0.025,1,,11,1,,,Rebecca
790,3,G486,6,12,22,0.352941176,0.85,,11,1,,,Rachael
75,1,G486,7,1,32,0.03030303,0.825,,12,1,,,Rachael
75,2,G486,0,0,40,0,1,,12,1,,,Rachael
75,3,G486,2,1,37,0.026315789,0.95,,12,1,,,Rachael
83,1,G486,4,0,36,0,0.9,,12,1,,,Rachael
93,1,G486,2,0,38,0,0.95,,12,1,,,Rachael
93,2,G486,17,0,23,0,0.575,,12,1,,,Rachael
93,3,G486,5,0,35,0,0.875,,12,1,,,Rachael
158,1,G486,0,3,37,0.075,1,,12,1,,,Rachael
309,2,G486,3,0,37,0,0.925,,12,1,,,Rachael
310,2,G486,4,1,35,0.027777778,0.9,,12,1,,,Rachael
492,1,G486,8,2,30,0.0625,0.8,,12,1,,,Rachael
492,3,G486,0,0,40,0,1,,12,1,,,Rachael
801,1,G486,0,0,40,0,1,,12,1,,,Rachael
48,1,G486,1,0,39,0,0.975,,13,2,,,Alex
48,2,G486,0,1,39,0.025,1,,13,2,,,Alex
217,1,G486,3,1,36,0.027027027,0.925,,13,2,,,Alex
217,2,G486,8,0,32,0,0.8,,13,2,,,Alex
217,3,G486,0,1,39,0.025,1,,13,2,,,Alex
301,1,G486,2,5,33,0.131578947,0.95,,13,2,,,Alex
301,2,G486,0,2,38,0.05,1,,13,2,,,Alex
301,3,G486,1,6,33,0.153846154,0.975,,13,2,,,Alex
356,1,G486,2,1,37,0.026315789,0.95,,13,2,,,Alex
391,1,G486,3,0,37,0,0.925,,13,2,,,Alex
391,2,G486,0,2,38,0.05,1,,13,2,,,Alex
391,3,G486,4,1,35,0.027777778,0.9,,13,2,,,Alex
461,1,G486,2,0,38,0,0.95,,13,2,,,Alex
461,2,G486,3,0,37,0,0.925,,13,2,,,Alex
491,1,G486,0,4,36,0.1,1,,13,2,,,Alex
491,2,G486,1,5,34,0.128205128,0.975,,13,2,,,Alex
491,3,G486,0,4,36,0.1,1,,13,2,,,Alex
509,1,G486,0,0,40,0,1,,13,2,,,Alex
509,2,G486,0,1,39,0.025,1,,13,2,,,Alex
509,3,G486,1,0,39,0,0.975,,13,2,,,Alex
563,1,G486,0,7,33,0.175,1,,13,2,,,Alex
563,2,G486,1,8,31,0.205128205,0.975,,13,2,,,Alex
563,3,G486,0,7,33,0.175,1,,13,2,,,Alex
584,1,G486,0,3,37,0.075,1,,13,2,,,Alex
584,2,G486,0,2,38,0.05,1,,13,2,,,Alex
584,3,G486,1,7,32,0.179487179,0.975,,13,2,,,Alex
595,1,G486,1,0,39,0,0.975,,13,2,,,Alex
595,2,G486,5,0,35,0,0.875,,13,2,,,Alex
595,3,G486,1,0,39,0,0.975,,13,2,,,Alex
774,1,G486,1,0,39,0,0.975,,13,2,,,Alex
774,2,G486,0,0,40,0,1,,13,2,,,Alex
774,3,G486,4,2,34,0.055555556,0.9,,13,2,,,Alex
799,1,G486,3,1,36,0.027027027,0.925,,13,2,,,Alex
799,2,G486,7,4,29,0.121212121,0.825,,13,2,,,Alex
799,3,G486,3,0,37,0,0.925,,13,2,,,Alex
911,1,G486,0,0,40,0,1,,13,2,,,Alex
911,2,G486,0,0,40,0,1,,13,2,,,Alex
911,3,G486,3,1,36,0.027027027,0.925,,13,2,,,Alex
21,1,G486,2,1,37,0.026315789,0.95,,14,2,,,Alex
21,2,G486,0,1,39,0.025,1,,14,2,,,Alex
21,3,G486,0,0,40,0,1,,14,2,,,Alex
31,1,G486,1,2,37,0.051282051,0.975,,14,2,,,Alex
31,2,G486,0,0,40,0,1,,14,2,,,Alex
31,3,G486,3,1,36,0.027027027,0.925,,14,2,,,Alex
